scope,team_size,communication_mode,metric,n,mean,ci_low,ci_high
Overall,,compressed,communication_packets_recorded,1600,75.106875,72.19845312499999,78.12773437499999
Overall,,compressed,coverage_auc,1600,0.7674504097101628,0.7648598068090579,0.7698910132873849
Overall,,compressed,final_coverage,1600,0.9973761396671235,0.9972264542092397,0.9975247559995079
Overall,,compressed,map_payload_kib,1600,635.155283203125,610.1636904907227,661.0495031433105
Overall,,compressed,map_payload_kib_per_robot,1600,114.09736551920574,110.27181537882487,118.09574585342408
Overall,,compressed,map_retransmission_packets,1224,0.0,0.0,0.0
Overall,,compressed,mean_robot_map_free_iou,1600,0.7157031167159469,0.7078757772645715,0.7237105696226009
Overall,,compressed,packets_per_robot,1600,13.836640625000001,13.310294921874998,14.391849609374997
Overall,,compressed,reached_95_rate,1600,1.0,1.0,1.0
Overall,,compressed,retransmission_rate,1184,0.0,0.0,0.0
Overall,,compressed,steps_to_95_conditional,1600,22.3275,21.9318125,22.719375
Overall,,none,communication_packets_recorded,1600,0.0,0.0,0.0
Overall,,none,coverage_auc,1600,0.7924128681632467,0.7894673257184983,0.7952732708163468
Overall,,none,final_coverage,1600,0.997289455823217,0.9971362890081217,0.9974381957747912
Overall,,none,map_payload_kib,1600,0.0,0.0,0.0
Overall,,none,map_payload_kib_per_robot,1600,0.0,0.0,0.0
Overall,,none,map_retransmission_packets,1600,0.0,0.0,0.0
Overall,,none,mean_robot_map_free_iou,1600,0.6616334347202041,0.6531022269975595,0.6700771104123419
Overall,,none,packets_per_robot,1600,0.0,0.0,0.0
Overall,,none,reached_95_rate,1600,1.0,1.0,1.0
Overall,,none,retransmission_rate,0,,,
Overall,,none,steps_to_95_conditional,1600,33.125,32.393734374999994,33.872546875000005
Overall,,raw,communication_packets_recorded,1600,75.106875,72.19845312499999,78.12773437499999
Overall,,raw,coverage_auc,1600,0.7674504097101628,0.7648598068090579,0.7698910132873849
Overall,,raw,final_coverage,1600,0.9973761396671235,0.9972264542092397,0.9975247559995079
Overall,,raw,map_payload_kib,1600,2235.7859960937503,2116.084697647095,2360.2722847595214
Overall,,raw,map_payload_kib_per_robot,1600,423.2069757588704,401.64202074940994,444.7556076838176
Overall,,raw,map_retransmission_packets,1600,0.0,0.0,0.0
Overall,,raw,mean_robot_map_free_iou,1600,0.7157031167159469,0.7078757772645715,0.7237105696226009
Overall,,raw,packets_per_robot,1600,13.836640625000001,13.310294921874998,14.391849609374997
Overall,,raw,reached_95_rate,1600,1.0,1.0,1.0
Overall,,raw,retransmission_rate,1541,0.0,0.0,0.0
Overall,,raw,steps_to_95_conditional,1600,22.3275,21.9318125,22.719375
N=2,2.0,compressed,communication_packets_recorded,400,16.4175,14.6424375,18.287687499999997
N=2,2.0,compressed,coverage_auc,400,0.680119608476852,0.6740833389947887,0.6863170013981074
N=2,2.0,compressed,final_coverage,400,0.9975127670151077,0.9972226995768941,0.9977912048945125
