scope,team_size,comparison,metric,pairs,mean_diff,ci_low,ci_high,relative_change_percent,candidate_better_raw_positive,ties,candidate_lower_raw
Overall,,none - compressed,communication_packets_recorded,1600,-75.106875,-78.127734375,-72.198453125,,0,59,1541
Overall,,raw - compressed,communication_packets_recorded,1600,0.0,0.0,0.0,,0,1600,0
N=2,2.0,none - compressed,communication_packets_recorded,400,-16.4175,-18.2876875,-14.642437500000002,-100.0,0,56,344
N=2,2.0,raw - compressed,communication_packets_recorded,400,0.0,0.0,0.0,0.0,0,400,0
N=4,4.0,none - compressed,communication_packets_recorded,400,-60.46,-65.13525,-55.907250000000005,-100.0,0,1,399
N=4,4.0,raw - compressed,communication_packets_recorded,400,0.0,0.0,0.0,0.0,0,400,0
N=6,6.0,none - compressed,communication_packets_recorded,400,-97.8975,-104.63550000000001,-91.451625,-100.0,0,1,399
N=6,6.0,raw - compressed,communication_packets_recorded,400,0.0,0.0,0.0,0.0,0,400,0
N=8,8.0,none - compressed,communication_packets_recorded,400,-125.6525,-134.42325000000002,-117.1399375,-100.0,0,1,399
N=8,8.0,raw - compressed,communication_packets_recorded,400,0.0,0.0,0.0,0.0,0,400,0
Overall,,none - compressed,coverage_auc,1600,0.024962458453083973,0.02276396041539531,0.027134026563600835,,1090,89,421
Overall,,raw - compressed,coverage_auc,1600,0.0,0.0,0.0,,0,1600,0
N=2,2.0,none - compressed,coverage_auc,400,0.018763625834581313,0.014017449974416538,0.02336664222612088,2.7588714691821647,227,66,107
N=2,2.0,raw - compressed,coverage_auc,400,0.0,0.0,0.0,0.0,0,400,0
N=4,4.0,none - compressed,coverage_auc,400,0.03238708202791222,0.027513645201355665,0.03731823591565283,4.320913897726985,289,8,103
N=4,4.0,raw - compressed,coverage_auc,400,0.0,0.0,0.0,0.0,0,400,0
N=6,6.0,none - compressed,coverage_auc,400,0.02606196134968045,0.021876962965939745,0.030269173705823365,3.2545828079674606,293,7,100
N=6,6.0,raw - compressed,coverage_auc,400,0.0,0.0,0.0,0.0,0,400,0
N=8,8.0,none - compressed,coverage_auc,400,0.02263716460016191,0.018881199317103886,0.02628890933559675,2.6969480052523727,281,8,111
N=8,8.0,raw - compressed,coverage_auc,400,0.0,0.0,0.0,0.0,0,400,0
Overall,,none - compressed,final_coverage,1600,-8.668384390661247e-05,-0.00024698051515292737,6.276767860323752e-05,,448,660,492
Overall,,raw - compressed,final_coverage,1600,0.0,0.0,0.0,,0,1600,0
N=2,2.0,none - compressed,final_coverage,400,-0.00023310028331311654,-0.0005123649544162762,4.0829783545717056e-05,-0.02336815036569714,87,197,116
N=2,2.0,raw - compressed,final_coverage,400,0.0,0.0,0.0,0.0,0,400,0
N=4,4.0,none - compressed,final_coverage,400,1.1678727076065987e-05,-0.0003124727647171955,0.00034259977542685203,0.001171074995195207,127,152,121
N=4,4.0,raw - compressed,final_coverage,400,0.0,0.0,0.0,0.0,0,400,0
