method_role_normalised,metric,N2_mean,N8_mean,N8_minus_N2,N8_vs_N2_percent
full,actual_collision_pairs,0.0,0.0,0.0,
full,collisions_per_robot_pair,0.0,0.0,0.0,
full,coverage_auc,0.680119608476852,0.8393622923421392,0.15924268386528717,23.41392335708654
full,deadlock_duration_robot_steps,0.1775,0.0025,-0.175,-98.59154929577466
full,final_coverage,0.9975127670151077,0.9973743314630618,-0.0001384355520459568,-0.013878073206040495
full,reached_95_rate,1.0,1.0,0.0,0.0
full,steps_to_95_conditional,41.3375,10.5925,-30.744999999999997,-74.37556697913517
full,team_path_per_robot,370.8824894958735,105.86364223241806,-265.0188472634554,-71.45628461017006
full,team_travel_distance_recorded,741.764978991747,846.9091378593445,105.14415886759753,14.174861559319773
full,trajectory_overlap_ratio,0.12835174556684642,0.20102457774650864,0.07267283217966222,56.62005752918549
map_only,actual_collision_pairs,0.0,1.805,1.805,
map_only,collisions_per_robot_pair,0.0,0.06446428571428571,0.06446428571428571,
map_only,coverage_auc,0.6779576990066133,0.8382848217658201,0.1603271227592068,23.648543706211804
map_only,deadlock_duration_robot_steps,0.0,1.51,1.51,
map_only,final_coverage,0.9973138677968835,0.9972401997582391,-7.36680386443922e-05,-0.007386645370441765
map_only,reached_95_rate,1.0,1.0,0.0,0.0
map_only,steps_to_95_conditional,59.2375,17.7925,-41.44499999999999,-69.96412745304916
map_only,team_path_per_robot,392.01999029278755,127.14795304119588,-264.8720372515917,-67.56595168878174
map_only,team_travel_distance_recorded,784.0399805855751,1017.183624329567,233.1436437439919,29.736193244873064
map_only,trajectory_overlap_ratio,0.1832513170236526,0.30046226790932645,0.11721095088567385,63.96186002338264
