Scope,Method,Final cov. (%),AUC,Reach@95 (%),Steps@95,Overlap,Path/robot,Coll./pair,Deadlock/wait
Overall,Map-only,99.7171976453053,0.7674940675356166,100.0,34.22,0.2642689095407574,232.25701340871552,0.049720238095238095,0.624375
Overall,Full,99.73761396671235,0.7674504097101628,100.0,22.3275,0.18136820819746535,206.7467661211888,0.0,0.0525
N=2,Map-only,99.73138677968835,0.6779576990066133,100.0,59.2375,0.1832513170236526,392.01999029278755,0.0,0.0
N=2,Full,99.75127670151078,0.680119608476852,100.0,41.3375,0.12835174556684642,370.8824894958735,0.0,0.1775
N=4,Map-only,99.6984307820096,0.7512016489185419,100.0,35.4825,0.27313553796632617,238.92174178808926,0.05958333333333333,0.155
N=4,Full,99.7265514504411,0.7495424068725236,100.0,22.34,0.18588911072283254,205.2003268867731,0.0,0.03
N=6,Map-only,99.71495304369942,0.8025321004514909,100.0,24.3675,0.30022651526372424,170.93836851278942,0.07483333333333334,0.8325
N=6,Full,99.73519456859137,0.8007773311491362,100.0,15.04,0.21020739875367384,145.04060586969058,0.0,0.0
N=8,Map-only,99.72401997582391,0.8382848217658201,100.0,17.7925,0.30046226790932645,127.14795304119588,0.06446428571428571,1.51
N=8,Full,99.73743314630617,0.8393622923421392,100.0,10.5925,0.20102457774650864,105.86364223241806,0.0,0.0025
