scope,metric,comparison,pairs,candidate_better,tie,candidate_worse
N=2,final_coverage,full vs map_only,400,156,71,173
N=4,final_coverage,full vs map_only,400,152,75,173
N=6,final_coverage,full vs map_only,400,161,75,164
N=8,final_coverage,full vs map_only,400,151,89,160
Overall,final_coverage,full vs map_only,1600,620,310,670
N=2,coverage_auc,full vs map_only,400,211,0,189
N=4,coverage_auc,full vs map_only,400,193,0,207
N=6,coverage_auc,full vs map_only,400,200,0,200
N=8,coverage_auc,full vs map_only,400,211,0,189
Overall,coverage_auc,full vs map_only,1600,815,0,785
N=2,reached_95_rate,full vs map_only,400,0,400,0
N=4,reached_95_rate,full vs map_only,400,0,400,0
N=6,reached_95_rate,full vs map_only,400,0,400,0
N=8,reached_95_rate,full vs map_only,400,0,400,0
Overall,reached_95_rate,full vs map_only,1600,0,1600,0
N=2,steps_to_95_conditional,full vs map_only,400,344,3,53
N=4,steps_to_95_conditional,full vs map_only,400,332,8,60
N=6,steps_to_95_conditional,full vs map_only,400,327,15,58
N=8,steps_to_95_conditional,full vs map_only,400,333,18,49
Overall,steps_to_95_conditional,full vs map_only,1600,1336,44,220
N=2,trajectory_overlap_ratio,full vs map_only,400,250,10,140
N=4,trajectory_overlap_ratio,full vs map_only,400,285,0,115
N=6,trajectory_overlap_ratio,full vs map_only,400,294,0,106
N=8,trajectory_overlap_ratio,full vs map_only,400,302,0,98
Overall,trajectory_overlap_ratio,full vs map_only,1600,1131,10,459
N=2,team_travel_distance_recorded,full vs map_only,400,159,0,241
N=4,team_travel_distance_recorded,full vs map_only,400,137,0,263
N=6,team_travel_distance_recorded,full vs map_only,400,138,0,262
N=8,team_travel_distance_recorded,full vs map_only,400,142,0,258
Overall,team_travel_distance_recorded,full vs map_only,1600,576,0,1024
N=2,team_path_per_robot,full vs map_only,400,241,0,159
N=4,team_path_per_robot,full vs map_only,400,263,0,137
N=6,team_path_per_robot,full vs map_only,400,262,0,138
N=8,team_path_per_robot,full vs map_only,400,258,0,142
Overall,team_path_per_robot,full vs map_only,1600,1024,0,576
N=2,actual_collision_pairs,full vs map_only,400,0,400,0
N=4,actual_collision_pairs,full vs map_only,400,83,317,0
N=6,actual_collision_pairs,full vs map_only,400,140,260,0
N=8,actual_collision_pairs,full vs map_only,400,183,217,0
Overall,actual_collision_pairs,full vs map_only,1600,406,1194,0
N=2,collisions_per_robot_pair,full vs map_only,400,0,400,0
N=4,collisions_per_robot_pair,full vs map_only,400,83,317,0
N=6,collisions_per_robot_pair,full vs map_only,400,140,260,0
N=8,collisions_per_robot_pair,full vs map_only,400,183,217,0
Overall,collisions_per_robot_pair,full vs map_only,1600,406,1194,0
N=2,deadlock_duration_robot_steps,full vs map_only,400,0,388,12
N=4,deadlock_duration_robot_steps,full vs map_only,400,24,372,4
N=6,deadlock_duration_robot_steps,full vs map_only,400,48,352,0
N=8,deadlock_duration_robot_steps,full vs map_only,400,95,304,1
Overall,deadlock_duration_robot_steps,full vs map_only,1600,167,1416,17
