communication_mode,metric,N2_mean,N8_mean,N8_minus_N2,N8_vs_N2_percent
compressed,communication_packets_recorded,16.4175,125.6525,109.235,665.3570884726664
compressed,coverage_auc,0.680119608476852,0.8393622923421392,0.15924268386528717,23.41392335708654
compressed,final_coverage,0.9975127670151077,0.9973743314630618,-0.0001384355520459568,-0.013878073206040495
compressed,map_payload_kib,119.79683837890624,1115.95876953125,996.1619311523438,831.5427557458372
compressed,map_payload_kib_per_robot,59.89841918945312,139.49484619140625,79.59642700195313,132.8856889364593
compressed,map_retransmission_packets,0.0,0.0,0.0,
compressed,mean_robot_map_free_iou,0.8712744691768914,0.5861595570780566,-0.2851149120988349,-32.723891515860444
compressed,packets_per_robot,8.20875,15.7065625,7.4978125,91.33927211816659
compressed,reached_95_rate,1.0,1.0,0.0,0.0
compressed,retransmission_rate,0.0,0.0,0.0,
compressed,steps_to_95_conditional,41.3375,10.5925,-30.744999999999997,-74.37556697913517
none,communication_packets_recorded,0.0,0.0,0.0,
none,coverage_auc,0.6988832343114333,0.8619994569423011,0.16311622263086778,23.339552964319736
none,final_coverage,0.9972796667317947,0.997270909174903,-8.757556891669793e-06,-0.000878144534959723
none,map_payload_kib,0.0,0.0,0.0,
none,map_payload_kib_per_robot,0.0,0.0,0.0,
none,map_retransmission_packets,0.0,0.0,0.0,
none,mean_robot_map_free_iou,0.8619385503680058,0.49441757097761807,-0.36752097939038775,-42.63888408674541
none,packets_per_robot,0.0,0.0,0.0,
none,reached_95_rate,1.0,1.0,0.0,0.0
none,retransmission_rate,,,,
none,steps_to_95_conditional,52.415,17.91,-34.504999999999995,-65.83039206334064
raw,communication_packets_recorded,16.4175,125.6525,109.235,665.3570884726664
raw,coverage_auc,0.680119608476852,0.8393622923421392,0.15924268386528717,23.41392335708654
raw,final_coverage,0.9975127670151077,0.9973743314630618,-0.0001384355520459568,-0.013878073206040495
raw,map_payload_kib,554.7264526367187,3459.1074267578124,2904.3809741210935,523.5699434047226
raw,map_payload_kib_per_robot,277.36322631835935,432.38842834472655,155.0252020263672,55.89248585118066
raw,map_retransmission_packets,0.0,0.0,0.0,
raw,mean_robot_map_free_iou,0.8712744691768914,0.5861595570780566,-0.2851149120988349,-32.723891515860444
raw,packets_per_robot,8.20875,15.7065625,7.4978125,91.33927211816659
raw,reached_95_rate,1.0,1.0,0.0,0.0
raw,retransmission_rate,0.0,0.0,0.0,
raw,steps_to_95_conditional,41.3375,10.5925,-30.744999999999997,-74.37556697913517
