Scope,Mode,Final cov.,AUC,Map IoU,Reach@95,Payload KiB,KiB/robot,Packets,Packets/robot
Overall,none,0.997289455823217,0.7924128681632467,0.6616334347202041,1.0,0.0,0.0,0.0,0.0
Overall,raw,0.9973761396671235,0.7674504097101628,0.7157031167159469,1.0,2235.7859960937503,423.2069757588704,75.106875,13.836640625000001
Overall,compressed,0.9973761396671235,0.7674504097101628,0.7157031167159469,1.0,635.155283203125,114.09736551920574,75.106875,13.836640625000001
N=2,none,0.9972796667317947,0.6988832343114333,0.8619385503680058,1.0,0.0,0.0,0.0,0.0
N=2,raw,0.9975127670151077,0.680119608476852,0.8712744691768914,1.0,554.7264526367187,277.36322631835935,16.4175,8.20875
N=2,compressed,0.9975127670151077,0.680119608476852,0.8712744691768914,1.0,119.79683837890624,59.89841918945312,16.4175,8.20875
N=4,none,0.997277193231487,0.7819294889004358,0.7062257768026126,1.0,0.0,0.0,0.0,0.0
N=4,raw,0.9972655145044109,0.7495424068725236,0.743763953822676,1.0,1938.2947705078125,484.5736926269531,60.46,15.115
N=4,compressed,0.9972655145044109,0.7495424068725236,0.743763953822676,1.0,474.223310546875,118.55582763671875,60.46,15.115
N=6,none,0.9973300541546831,0.8268392924988166,0.5839518407325797,1.0,0.0,0.0,0.0,0.0
N=6,raw,0.9973519456859137,0.8007773311491362,0.6616144867861635,1.0,2991.0153344726564,498.50255574544263,97.8975,16.31625
N=6,compressed,0.9973519456859137,0.8007773311491362,0.6616144867861635,1.0,830.6422143554687,138.44036905924477,97.8975,16.31625
N=8,none,0.997270909174903,0.8619994569423011,0.49441757097761807,1.0,0.0,0.0,0.0,0.0
N=8,raw,0.9973743314630618,0.8393622923421392,0.5861595570780566,1.0,3459.1074267578124,432.38842834472655,125.6525,15.7065625
N=8,compressed,0.9973743314630618,0.8393622923421392,0.5861595570780566,1.0,1115.95876953125,139.49484619140625,125.6525,15.7065625
