descriptor,team_size,communication_mode,stratum,metric,n,mean,median
map_obstacle_ratio,2,compressed,low,final_coverage,136,0.9976198828852887,0.9988034551536769
map_obstacle_ratio,2,compressed,low,coverage_auc,136,0.676899762236214,0.6726552551185
map_obstacle_ratio,2,compressed,low,mean_robot_map_free_iou,136,0.8684983176049643,0.904528230056178
map_obstacle_ratio,2,compressed,low,reached_95_rate,136,1.0,1.0
map_obstacle_ratio,2,compressed,low,steps_to_95_conditional,136,43.10294117647059,43.0
map_obstacle_ratio,2,compressed,low,map_payload_kib,136,123.0707648782169,139.90478515625
map_obstacle_ratio,2,compressed,low,map_payload_kib_per_robot,136,61.53538243910845,69.952392578125
map_obstacle_ratio,2,compressed,low,communication_packets_recorded,136,17.558823529411764,11.0
map_obstacle_ratio,2,compressed,low,packets_per_robot,136,8.779411764705882,5.5
map_obstacle_ratio,2,compressed,low,map_retransmission_packets,112,0.0,0.0
map_obstacle_ratio,2,compressed,low,retransmission_rate,92,0.0,0.0
map_obstacle_ratio,2,compressed,medium,final_coverage,132,0.9975681915700635,0.998960316667671
map_obstacle_ratio,2,compressed,medium,coverage_auc,132,0.6803025837316845,0.6808606579765946
map_obstacle_ratio,2,compressed,medium,mean_robot_map_free_iou,132,0.887529133400872,0.9225988052364174
map_obstacle_ratio,2,compressed,medium,reached_95_rate,132,1.0,1.0
map_obstacle_ratio,2,compressed,medium,steps_to_95_conditional,132,42.86363636363637,41.5
map_obstacle_ratio,2,compressed,medium,map_payload_kib,132,123.5353116122159,136.94482421875
map_obstacle_ratio,2,compressed,medium,map_payload_kib_per_robot,132,61.76765580610795,68.472412109375
map_obstacle_ratio,2,compressed,medium,communication_packets_recorded,132,17.28030303030303,10.0
map_obstacle_ratio,2,compressed,medium,packets_per_robot,132,8.640151515151516,5.0
map_obstacle_ratio,2,compressed,medium,map_retransmission_packets,104,0.0,0.0
map_obstacle_ratio,2,compressed,medium,retransmission_rate,98,0.0,0.0
map_obstacle_ratio,2,compressed,high,final_coverage,132,0.9973469806545112,0.9987212845092881
map_obstacle_ratio,2,compressed,high,coverage_auc,132,0.6832540505608585,0.6801829876461849
map_obstacle_ratio,2,compressed,high,mean_robot_map_free_iou,132,0.8578800823300479,0.9097325523334585
map_obstacle_ratio,2,compressed,high,reached_95_rate,132,1.0,1.0
map_obstacle_ratio,2,compressed,high,steps_to_95_conditional,132,37.99242424242424,38.0
map_obstacle_ratio,2,compressed,high,map_payload_kib,132,112.68522875236742,123.904296875
map_obstacle_ratio,2,compressed,high,map_payload_kib_per_robot,132,56.34261437618371,61.9521484375
map_obstacle_ratio,2,compressed,high,communication_packets_recorded,132,14.378787878787879,10.0
map_obstacle_ratio,2,compressed,high,packets_per_robot,132,7.1893939393939394,5.0
map_obstacle_ratio,2,compressed,high,map_retransmission_packets,90,0.0,0.0
map_obstacle_ratio,2,compressed,high,retransmission_rate,79,0.0,0.0
map_obstacle_ratio,2,none,low,final_coverage,136,0.9975276159784828,0.9984475416604413
map_obstacle_ratio,2,none,low,coverage_auc,136,0.6993842156405974,0.6996407457896237
map_obstacle_ratio,2,none,low,mean_robot_map_free_iou,136,0.8709981443790862,0.9157383269850512
map_obstacle_ratio,2,none,low,reached_95_rate,136,1.0,1.0
map_obstacle_ratio,2,none,low,steps_to_95_conditional,136,53.919117647058826,55.5
map_obstacle_ratio,2,none,low,map_payload_kib,136,0.0,0.0
map_obstacle_ratio,2,none,low,map_payload_kib_per_robot,136,0.0,0.0
map_obstacle_ratio,2,none,low,communication_packets_recorded,136,0.0,0.0
map_obstacle_ratio,2,none,low,packets_per_robot,136,0.0,0.0
map_obstacle_ratio,2,none,low,map_retransmission_packets,136,0.0,0.0
map_obstacle_ratio,2,none,medium,final_coverage,132,0.9973781859552465,0.9989713935578883
map_obstacle_ratio,2,none,medium,coverage_auc,132,0.7021891618087129,0.704066979592072
map_obstacle_ratio,2,none,medium,mean_robot_map_free_iou,132,0.8764214972298302,0.9106939596296858
map_obstacle_ratio,2,none,medium,reached_95_rate,132,1.0,1.0
map_obstacle_ratio,2,none,medium,steps_to_95_conditional,132,55.515151515151516,54.0
map_obstacle_ratio,2,none,medium,map_payload_kib,132,0.0,0.0
map_obstacle_ratio,2,none,medium,map_payload_kib_per_robot,132,0.0,0.0
map_obstacle_ratio,2,none,medium,communication_packets_recorded,132,0.0,0.0
map_obstacle_ratio,2,none,medium,packets_per_robot,132,0.0,0.0
map_obstacle_ratio,2,none,medium,map_retransmission_packets,132,0.0,0.0
map_obstacle_ratio,2,none,high,final_coverage,132,0.9969256846481187,0.9981578603879501
map_obstacle_ratio,2,none,high,coverage_auc,132,0.6950611442325907,0.6928732679842798
map_obstacle_ratio,2,none,high,mean_robot_map_free_iou,132,0.8381214763432502,0.8610612674838811
map_obstacle_ratio,2,none,high,reached_95_rate,132,1.0,1.0
map_obstacle_ratio,2,none,high,steps_to_95_conditional,132,47.765151515151516,47.0
map_obstacle_ratio,2,none,high,map_payload_kib,132,0.0,0.0
map_obstacle_ratio,2,none,high,map_payload_kib_per_robot,132,0.0,0.0
map_obstacle_ratio,2,none,high,communication_packets_recorded,132,0.0,0.0
map_obstacle_ratio,2,none,high,packets_per_robot,132,0.0,0.0
map_obstacle_ratio,2,none,high,map_retransmission_packets,132,0.0,0.0
map_obstacle_ratio,2,raw,low,final_coverage,136,0.9976198828852887,0.9988034551536769
map_obstacle_ratio,2,raw,low,coverage_auc,136,0.676899762236214,0.6726552551185
map_obstacle_ratio,2,raw,low,mean_robot_map_free_iou,136,0.8684983176049643,0.904528230056178
map_obstacle_ratio,2,raw,low,reached_95_rate,136,1.0,1.0
map_obstacle_ratio,2,raw,low,steps_to_95_conditional,136,43.10294117647059,43.0
map_obstacle_ratio,2,raw,low,map_payload_kib,136,598.5772130629596,321.8369140625
map_obstacle_ratio,2,raw,low,map_payload_kib_per_robot,136,299.2886065314798,160.91845703125
map_obstacle_ratio,2,raw,low,communication_packets_recorded,136,17.558823529411764,11.0
