team_size,communication_mode,target,n,pearson_r,spearman_rho
2,raw,coverage_auc,400,0.06264678530116276,0.014237192091097401
2,raw,mean_robot_map_free_iou,400,0.41276507178341365,0.5624736808758626
2,compressed,coverage_auc,400,0.10287938472637662,0.1749683716234084
2,compressed,mean_robot_map_free_iou,400,0.7560126890256728,0.7680252230056291
4,raw,coverage_auc,400,0.2235060712974079,0.20950837192732452
4,raw,mean_robot_map_free_iou,400,0.6010715383042903,0.7688007425046406
4,compressed,coverage_auc,400,0.2281981812320862,0.2406157538484615
4,compressed,mean_robot_map_free_iou,400,0.8324335993861394,0.8891472446702791
6,raw,coverage_auc,400,0.21157144931217278,0.2212843830273939
6,raw,mean_robot_map_free_iou,400,0.7147629389711587,0.8620040125250783
6,compressed,coverage_auc,400,0.20512906380714835,0.22699791873699207
6,compressed,mean_robot_map_free_iou,400,0.8643372227753393,0.9391320570753565
8,raw,coverage_auc,400,0.1580867705166152,0.1517353233457709
8,raw,mean_robot_map_free_iou,400,0.7540718004163994,0.9004020025125157
8,compressed,coverage_auc,400,0.1623470010238448,0.14700785629910185
8,compressed,mean_robot_map_free_iou,400,0.8693314023453109,0.939478746742167
