scope,metric,comparison,pairs,candidate_better,tie,candidate_worse
N=2,final_coverage,compressed vs raw,400,0,400,0
N=4,final_coverage,compressed vs raw,400,0,400,0
N=6,final_coverage,compressed vs raw,400,0,400,0
N=8,final_coverage,compressed vs raw,400,0,400,0
Overall,final_coverage,compressed vs raw,1600,0,1600,0
N=2,coverage_auc,compressed vs raw,400,0,400,0
N=4,coverage_auc,compressed vs raw,400,0,400,0
N=6,coverage_auc,compressed vs raw,400,0,400,0
N=8,coverage_auc,compressed vs raw,400,0,400,0
Overall,coverage_auc,compressed vs raw,1600,0,1600,0
N=2,mean_robot_map_free_iou,compressed vs raw,400,0,400,0
N=4,mean_robot_map_free_iou,compressed vs raw,400,0,400,0
N=6,mean_robot_map_free_iou,compressed vs raw,400,0,400,0
N=8,mean_robot_map_free_iou,compressed vs raw,400,0,400,0
Overall,mean_robot_map_free_iou,compressed vs raw,1600,0,1600,0
N=2,reached_95_rate,compressed vs raw,400,0,400,0
N=4,reached_95_rate,compressed vs raw,400,0,400,0
N=6,reached_95_rate,compressed vs raw,400,0,400,0
N=8,reached_95_rate,compressed vs raw,400,0,400,0
Overall,reached_95_rate,compressed vs raw,1600,0,1600,0
N=2,steps_to_95_conditional,compressed vs raw,400,0,400,0
N=4,steps_to_95_conditional,compressed vs raw,400,0,400,0
N=6,steps_to_95_conditional,compressed vs raw,400,0,400,0
N=8,steps_to_95_conditional,compressed vs raw,400,0,400,0
Overall,steps_to_95_conditional,compressed vs raw,1600,0,1600,0
N=2,map_payload_kib,compressed vs raw,400,248,152,0
N=4,map_payload_kib,compressed vs raw,400,376,24,0
N=6,map_payload_kib,compressed vs raw,400,387,13,0
N=8,map_payload_kib,compressed vs raw,400,393,7,0
Overall,map_payload_kib,compressed vs raw,1600,1404,196,0
N=2,map_payload_kib_per_robot,compressed vs raw,400,248,152,0
N=4,map_payload_kib_per_robot,compressed vs raw,400,376,24,0
N=6,map_payload_kib_per_robot,compressed vs raw,400,387,13,0
N=8,map_payload_kib_per_robot,compressed vs raw,400,393,7,0
Overall,map_payload_kib_per_robot,compressed vs raw,1600,1404,196,0
N=2,communication_packets_recorded,compressed vs raw,400,0,400,0
N=4,communication_packets_recorded,compressed vs raw,400,0,400,0
N=6,communication_packets_recorded,compressed vs raw,400,0,400,0
N=8,communication_packets_recorded,compressed vs raw,400,0,400,0
Overall,communication_packets_recorded,compressed vs raw,1600,0,1600,0
N=2,packets_per_robot,compressed vs raw,400,0,400,0
N=4,packets_per_robot,compressed vs raw,400,0,400,0
N=6,packets_per_robot,compressed vs raw,400,0,400,0
N=8,packets_per_robot,compressed vs raw,400,0,400,0
Overall,packets_per_robot,compressed vs raw,1600,0,1600,0
N=2,map_retransmission_packets,compressed vs raw,306,0,306,0
N=4,map_retransmission_packets,compressed vs raw,306,0,306,0
N=6,map_retransmission_packets,compressed vs raw,306,0,306,0
N=8,map_retransmission_packets,compressed vs raw,306,0,306,0
Overall,map_retransmission_packets,compressed vs raw,1224,0,1224,0
N=2,retransmission_rate,compressed vs raw,269,0,269,0
N=4,retransmission_rate,compressed vs raw,305,0,305,0
N=6,retransmission_rate,compressed vs raw,305,0,305,0
N=8,retransmission_rate,compressed vs raw,305,0,305,0
Overall,retransmission_rate,compressed vs raw,1184,0,1184,0
