descriptor,team_size,method_role_normalised,stratum,metric,n,mean,median
map_obstacle_ratio,2,full,low,final_coverage,136,0.9976198828852887,0.9988034551536769
map_obstacle_ratio,2,full,low,coverage_auc,136,0.676899762236214,0.6726552551185
map_obstacle_ratio,2,full,low,reached_95_rate,136,1.0,1.0
map_obstacle_ratio,2,full,low,steps_to_95_conditional,136,43.10294117647059,43.0
map_obstacle_ratio,2,full,low,trajectory_overlap_ratio,136,0.15016929035622428,0.11410488245931275
map_obstacle_ratio,2,full,low,team_travel_distance_recorded,136,771.4034145123818,761.3318650722504
map_obstacle_ratio,2,full,low,team_path_per_robot,136,385.7017072561909,380.6659325361252
map_obstacle_ratio,2,full,low,actual_collision_pairs,136,0.0,0.0
map_obstacle_ratio,2,full,low,collisions_per_robot_pair,136,0.0,0.0
map_obstacle_ratio,2,full,low,deadlock_duration_robot_steps,136,0.20588235294117646,0.0
map_obstacle_ratio,2,full,medium,final_coverage,132,0.9975681915700635,0.998960316667671
map_obstacle_ratio,2,full,medium,coverage_auc,132,0.6803025837316845,0.6808606579765946
map_obstacle_ratio,2,full,medium,reached_95_rate,132,1.0,1.0
map_obstacle_ratio,2,full,medium,steps_to_95_conditional,132,42.86363636363637,41.5
map_obstacle_ratio,2,full,medium,trajectory_overlap_ratio,132,0.1284959853677437,0.10933997509339971
map_obstacle_ratio,2,full,medium,team_travel_distance_recorded,132,769.3783264954885,751.063223361969
map_obstacle_ratio,2,full,medium,team_path_per_robot,132,384.68916324774426,375.5316116809845
map_obstacle_ratio,2,full,medium,actual_collision_pairs,132,0.0,0.0
map_obstacle_ratio,2,full,medium,collisions_per_robot_pair,132,0.0,0.0
map_obstacle_ratio,2,full,medium,deadlock_duration_robot_steps,132,0.14393939393939395,0.0
map_obstacle_ratio,2,full,high,final_coverage,132,0.9973469806545112,0.9987212845092881
map_obstacle_ratio,2,full,high,coverage_auc,132,0.6832540505608585,0.6801829876461849
map_obstacle_ratio,2,full,high,reached_95_rate,132,1.0,1.0
map_obstacle_ratio,2,full,high,steps_to_95_conditional,132,37.99242424242424,38.0
map_obstacle_ratio,2,full,high,trajectory_overlap_ratio,132,0.10572882325568105,0.0785361842105263
map_obstacle_ratio,2,full,high,team_travel_distance_recorded,132,683.6150615576541,668.9711849689484
map_obstacle_ratio,2,full,high,team_path_per_robot,132,341.8075307788271,334.4855924844742
map_obstacle_ratio,2,full,high,actual_collision_pairs,132,0.0,0.0
map_obstacle_ratio,2,full,high,collisions_per_robot_pair,132,0.0,0.0
map_obstacle_ratio,2,full,high,deadlock_duration_robot_steps,132,0.18181818181818182,0.0
map_obstacle_ratio,2,map_only,low,final_coverage,136,0.9971855360655306,0.9989598455298867
map_obstacle_ratio,2,map_only,low,coverage_auc,136,0.679618727091996,0.68455435343995
map_obstacle_ratio,2,map_only,low,reached_95_rate,136,1.0,1.0
map_obstacle_ratio,2,map_only,low,steps_to_95_conditional,136,62.279411764705884,60.0
map_obstacle_ratio,2,map_only,low,trajectory_overlap_ratio,136,0.18414522632734306,0.1642550410754294
map_obstacle_ratio,2,map_only,low,team_travel_distance_recorded,136,829.4661269783974,822.9342112541199
map_obstacle_ratio,2,map_only,low,team_path_per_robot,136,414.7330634891987,411.46710562705994
map_obstacle_ratio,2,map_only,low,actual_collision_pairs,136,0.0,0.0
map_obstacle_ratio,2,map_only,low,collisions_per_robot_pair,136,0.0,0.0
map_obstacle_ratio,2,map_only,low,deadlock_duration_robot_steps,136,0.0,0.0
map_obstacle_ratio,2,map_only,medium,final_coverage,132,0.9980284745884324,0.999368960505199
map_obstacle_ratio,2,map_only,medium,coverage_auc,132,0.6745137690123378,0.6718870479553404
map_obstacle_ratio,2,map_only,medium,reached_95_rate,132,1.0,1.0
map_obstacle_ratio,2,map_only,medium,steps_to_95_conditional,132,58.484848484848484,57.0
