scope,team_size,comparison,metric,pairs,mean_diff,ci_low,ci_high,relative_change_percent,candidate_better_raw_positive,ties,candidate_lower_raw
Overall,,full - map_only,actual_collision_pairs,1600,-0.82125,-0.9924999999999999,-0.6668593750000003,,0,1194,406
N=2,2.0,full - map_only,actual_collision_pairs,400,0.0,0.0,0.0,,0,400,0
N=4,4.0,full - map_only,actual_collision_pairs,400,-0.3575,-0.4675,-0.265,-100.0,0,317,83
N=6,6.0,full - map_only,actual_collision_pairs,400,-1.1225,-1.5475,-0.7874375000000009,-100.0,0,260,140
N=8,8.0,full - map_only,actual_collision_pairs,400,-1.805,-2.3650625,-1.3224375000000008,-100.0,0,217,183
Overall,,full - map_only,collisions_per_robot_pair,1600,-0.049720238095238095,-0.05917712053571428,-0.04121707589285714,,0,1194,406
N=2,2.0,full - map_only,collisions_per_robot_pair,400,0.0,0.0,0.0,,0,400,0
N=4,4.0,full - map_only,collisions_per_robot_pair,400,-0.05958333333333333,-0.07833333333333334,-0.04458333333333333,-100.0,0,317,83
N=6,6.0,full - map_only,collisions_per_robot_pair,400,-0.07483333333333334,-0.10300416666666667,-0.05333333333333333,-100.0,0,260,140
N=8,8.0,full - map_only,collisions_per_robot_pair,400,-0.06446428571428571,-0.08482142857142856,-0.04740848214285717,-100.0,0,217,183
Overall,,full - map_only,coverage_auc,1600,-4.3657825453823464e-05,-0.003217028348862708,0.0030509569803384563,,815,0,785
N=2,2.0,full - map_only,coverage_auc,400,0.0021619094702388384,-0.0054276701362473,0.009885744719500154,0.31888559911726133,211,0,189
N=4,4.0,full - map_only,coverage_auc,400,-0.0016592420460182825,-0.007970976301527521,0.0047359636557070105,-0.22087838177764782,193,0,207
N=6,6.0,full - map_only,coverage_auc,400,-0.0017547693023547118,-0.007268489777201501,0.003720278460240655,-0.21865409512809622,200,0,200
N=8,8.0,full - map_only,coverage_auc,400,0.001077470576318862,-0.0032462424627474986,0.005364477187646567,0.1285327550186588,211,0,189
Overall,,full - map_only,deadlock_duration_robot_steps,1600,-0.571875,-0.7937656249999999,-0.3849843750000002,,17,1416,167
N=2,2.0,full - map_only,deadlock_duration_robot_steps,400,0.1775,0.075,0.30256249999999907,,12,388,0
N=4,4.0,full - map_only,deadlock_duration_robot_steps,400,-0.125,-0.24,-0.04,-80.64516129032259,4,372,24
N=6,6.0,full - map_only,deadlock_duration_robot_steps,400,-0.8325,-1.3650625,-0.405,-100.0,0,352,48
N=8,8.0,full - map_only,deadlock_duration_robot_steps,400,-1.5075,-2.2175,-0.9375,-99.83443708609272,1,304,95
Overall,,full - map_only,final_coverage,1600,0.00020416321407038814,5.613659752079621e-06,0.00041571201169419644,,620,310,670
