Scope,Mode,Final cov. (%),AUC,Map IoU,Reach@95 (%),Steps@95,Payload KiB,KiB/robot,Packets,Packets/robot
Overall,none,99.7289455823217,0.7924128681632467,0.6616334347202041,100.0,33.125,0.0,0.0,0.0,0.0
Overall,raw,99.73761396671235,0.7674504097101628,0.7157031167159469,100.0,22.3275,2235.7859960937503,423.2069757588704,75.106875,13.836640625000001
Overall,compressed,99.73761396671235,0.7674504097101628,0.7157031167159469,100.0,22.3275,635.155283203125,114.09736551920574,75.106875,13.836640625000001
N=2,none,99.72796667317947,0.6988832343114333,0.8619385503680058,100.0,52.415,0.0,0.0,0.0,0.0
N=2,raw,99.75127670151078,0.680119608476852,0.8712744691768914,100.0,41.3375,554.7264526367187,277.36322631835935,16.4175,8.20875
N=2,compressed,99.75127670151078,0.680119608476852,0.8712744691768914,100.0,41.3375,119.79683837890624,59.89841918945312,16.4175,8.20875
N=4,none,99.7277193231487,0.7819294889004358,0.7062257768026126,100.0,36.43,0.0,0.0,0.0,0.0
N=4,raw,99.7265514504411,0.7495424068725236,0.743763953822676,100.0,22.34,1938.2947705078125,484.5736926269531,60.46,15.115
N=4,compressed,99.7265514504411,0.7495424068725236,0.743763953822676,100.0,22.34,474.223310546875,118.55582763671875,60.46,15.115
N=6,none,99.73300541546831,0.8268392924988166,0.5839518407325797,100.0,25.745,0.0,0.0,0.0,0.0
N=6,raw,99.73519456859137,0.8007773311491362,0.6616144867861635,100.0,15.04,2991.0153344726564,498.50255574544263,97.8975,16.31625
N=6,compressed,99.73519456859137,0.8007773311491362,0.6616144867861635,100.0,15.04,830.6422143554687,138.44036905924477,97.8975,16.31625
N=8,none,99.7270909174903,0.8619994569423011,0.49441757097761807,100.0,17.91,0.0,0.0,0.0,0.0
N=8,raw,99.73743314630617,0.8393622923421392,0.5861595570780566,100.0,10.5925,3459.1074267578124,432.38842834472655,125.6525,15.7065625
N=8,compressed,99.73743314630617,0.8393622923421392,0.5861595570780566,100.0,10.5925,1115.95876953125,139.49484619140625,125.6525,15.7065625
