episode,method,seed,team_size,communication_mode,step,robot_id,previous_x,previous_y,preferred_x,preferred_y,proposed_x,proposed_y,actual_x,actual_y,path_increment,cumulative_robot_path,wait_flag,dynamic_blocked,static_blocked,consecutive_wait_steps,deadlock_flag,recovered_flag,revisit_flag,cross_robot_overlap_flag
13,LiteDARE-Full-ContactAware,1301082,4,none,0,0,-56.0,-4.0,-56.0,-4.0,-56.0,-4.0,-56.0,-4.0,0.0,0.0,True,False,False,0,False,False,False,False
13,LiteDARE-Full-ContactAware,1301082,4,none,0,1,-12.0,-60.0,-12.0,-60.0,-12.0,-60.0,-12.0,-60.0,0.0,0.0,True,False,False,0,False,False,False,False
13,LiteDARE-Full-ContactAware,1301082,4,none,0,2,-48.0,-24.0,-48.0,-24.0,-48.0,-24.0,-48.0,-24.0,0.0,0.0,True,False,False,0,False,False,False,False
13,LiteDARE-Full-ContactAware,1301082,4,none,0,3,-12.0,24.0,-12.0,24.0,-12.0,24.0,-12.0,24.0,0.0,0.0,True,False,False,0,False,False,False,False
13,LiteDARE-Full-ContactAware,1301082,4,none,1,0,-56.0,-4.0,-48.0,4.0,-48.0,4.0,-48.0,4.0,11.313708305358887,11.313708305358887,False,False,False,0,False,False,False,False
13,LiteDARE-Full-ContactAware,1301082,4,none,1,1,-12.0,-60.0,-4.0,-52.0,-4.0,-52.0,-4.0,-52.0,11.313708305358887,11.313708305358887,False,False,False,0,False,False,False,False
13,LiteDARE-Full-ContactAware,1301082,4,none,1,2,-48.0,-24.0,-40.0,-32.0,-40.0,-32.0,-40.0,-32.0,11.313708305358887,11.313708305358887,False,False,False,0,False,False,False,False
13,LiteDARE-Full-ContactAware,1301082,4,none,1,3,-12.0,24.0,-20.0,24.0,-20.0,24.0,-20.0,24.0,8.0,8.0,False,False,False,0,False,False,False,False
13,LiteDARE-Full-ContactAware,1301082,4,none,2,0,-48.0,4.0,-40.0,4.0,-40.0,4.0,-40.0,4.0,8.0,19.313708305358887,False,False,False,0,False,False,False,False
13,LiteDARE-Full-ContactAware,1301082,4,none,2,1,-4.0,-52.0,-12.0,-44.0,-12.0,-44.0,-12.0,-44.0,11.313708305358887,22.627416610717773,False,False,False,0,False,False,False,False
13,LiteDARE-Full-ContactAware,1301082,4,none,2,2,-40.0,-32.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,8.0,19.313708305358887,False,False,False,0,False,False,False,False
13,LiteDARE-Full-ContactAware,1301082,4,none,2,3,-20.0,24.0,-16.0,16.0,-16.0,16.0,-16.0,16.0,8.9442720413208,16.9442720413208,False,False,False,0,False,False,False,False
13,LiteDARE-Full-ContactAware,1301082,4,none,3,0,-40.0,4.0,-32.0,-4.0,-32.0,-4.0,-32.0,-4.0,11.313708305358887,30.627416610717773,False,False,False,0,False,False,False,False
13,LiteDARE-Full-ContactAware,1301082,4,none,3,1,-12.0,-44.0,-20.0,-44.0,-20.0,-44.0,-20.0,-44.0,8.0,30.627416610717773,False,False,False,0,False,False,False,False
13,LiteDARE-Full-ContactAware,1301082,4,none,3,2,-40.0,-40.0,-36.0,-40.0,-36.0,-40.0,-36.0,-40.0,4.0,23.313708305358887,False,False,False,0,False,False,False,False
13,LiteDARE-Full-ContactAware,1301082,4,none,3,3,-16.0,16.0,-24.0,12.0,-24.0,12.0,-24.0,12.0,8.9442720413208,25.8885440826416,False,False,False,0,False,False,False,False
13,LiteDARE-Full-ContactAware,1301082,4,none,4,0,-32.0,-4.0,-24.0,-4.0,-24.0,-4.0,-24.0,-4.0,8.0,38.62741661071777,False,False,False,0,False,False,False,False
13,LiteDARE-Full-ContactAware,1301082,4,none,4,1,-20.0,-44.0,-28.0,-40.0,-28.0,-40.0,-28.0,-40.0,8.9442720413208,39.571688652038574,False,False,False,0,False,False,False,False
13,LiteDARE-Full-ContactAware,1301082,4,none,4,2,-36.0,-40.0,-28.0,-40.0,-32.0,-40.0,-32.0,-40.0,4.0,27.313708305358887,False,False,False,0,False,False,False,False
13,LiteDARE-Full-ContactAware,1301082,4,none,4,3,-24.0,12.0,-16.0,4.0,-16.0,4.0,-16.0,4.0,11.313708305358887,37.20225238800049,False,False,False,0,False,False,False,False
13,LiteDARE-Full-ContactAware,1301082,4,none,5,0,-24.0,-4.0,-16.0,-12.0,-16.0,-12.0,-16.0,-12.0,11.313708305358887,49.94112491607666,False,False,False,0,False,False,False,False
13,LiteDARE-Full-ContactAware,1301082,4,none,5,1,-28.0,-40.0,-36.0,-40.0,-36.0,-40.0,-36.0,-40.0,8.0,47.571688652038574,False,False,False,0,False,False,True,True
13,LiteDARE-Full-ContactAware,1301082,4,none,5,2,-32.0,-40.0,-24.0,-44.0,-24.0,-44.0,-24.0,-44.0,8.9442720413208,36.25798034667969,False,False,False,0,False,False,False,False
13,LiteDARE-Full-ContactAware,1301082,4,none,5,3,-16.0,4.0,-20.0,-4.0,-20.0,-4.0,-20.0,-4.0,8.9442720413208,46.14652442932129,False,False,False,0,False,False,False,False
13,LiteDARE-Full-ContactAware,1301082,4,none,6,0,-16.0,-12.0,-12.0,-20.0,-12.0,-20.0,-12.0,-20.0,8.9442720413208,58.88539695739746,False,False,False,0,False,False,False,False
13,LiteDARE-Full-ContactAware,1301082,4,none,6,1,-36.0,-40.0,-44.0,-40.0,-44.0,-40.0,-44.0,-40.0,8.0,55.571688652038574,False,False,False,0,False,False,False,False
13,LiteDARE-Full-ContactAware,1301082,4,none,6,2,-24.0,-44.0,-16.0,-44.0,-16.0,-44.0,-16.0,-44.0,8.0,44.25798034667969,False,False,False,0,False,False,False,False
13,LiteDARE-Full-ContactAware,1301082,4,none,6,3,-20.0,-4.0,-16.0,-12.0,-16.0,-12.0,-16.0,-12.0,8.9442720413208,55.09079647064209,False,False,False,0,False,False,True,True
