episode,method,seed,team_size,communication_mode,step,coverage,coverage_delta,known_free_cells,newly_explored_free_cells,step_path_length,cumulative_team_path_length,waiting_robots,deadlocked_robots,deadlock_recoveries,preferred_vertex_conflicts,preferred_swap_conflicts,preferred_proximity_conflicts,preferred_conflict_step,actual_collision_pairs,actual_collision_step,conflict_avoided_step,minimum_preferred_pairwise_distance,minimum_proposed_pairwise_distance,minimum_actual_pairwise_distance,dynamic_safety_blocks,static_safety_blocks,contact_pairs,communication_packets_delta,communication_bytes_delta,map_packets_delta,map_bytes_delta,resolver_backtracking_nodes,escape_robot_ids,used_serial_fallback,step_runtime_ms,communication_payload_bytes_delta,communication_map_packets_delta,communication_region_packets_delta,communication_motion_packets_delta,communication_map_bytes_delta,communication_region_bytes_delta,communication_motion_bytes_delta,communication_payload_cells_delta,communication_cells_received_delta,communication_encode_ms_delta,communication_decode_apply_ms_delta,communication_exchange_wall_ms_delta,communication_delivery_events_delta,communication_conflicts_delta,communication_local_map_sync_ms_delta,communication_header_bytes_delta,communication_index_bytes_delta,communication_value_bytes_delta,communication_raw_equivalent_bytes_delta,communication_dense_grid_reference_bytes_delta,communication_deferred_cells_delta,communication_packet_losses_delta,contact_detection_ms,map_local_sync_and_exchange_ms,observation_graph_refresh_ms,dynamic_region_update_ms,policy_inference_team_ms,candidate_generation_ms,motion_coordination_facade_ms,environment_step_ms,deadlock_state_update_ms,post_step_local_map_sync_ms,region_event_io_ms,metric_state_snapshot_ms,visualization_frame_ms,preferred_action_selection_ms,deadlock_priority_ms,deadlock_escape_ms,collision_resolution_ms,motion_exchange_ms,motion_filter_ms,graph_backtrack_ms,coordination_total_ms,deadlock_state_update_internal_ms,profiled_step_wall_ms,step_process_cpu_ms,step_process_cpu_utilisation_percent,timed_components_sum_ms,unattributed_step_ms,recording_and_output_overhead_ms,control_step_wall_excluding_output_ms,process_rss_bytes,process_peak_rss_bytes,python_tracemalloc_current_bytes,python_tracemalloc_peak_bytes,gpu_memory_allocated_bytes,gpu_memory_reserved_bytes,gpu_peak_memory_allocated_bytes,gpu_peak_memory_reserved_bytes,gpu_power_watts,gpu_utilisation_percent,gpu_memory_utilisation_percent,gpu_temperature_c,policy_inference_per_robot_ms,debug_diagnostics_ms
49,LiteDARE-Full-ContactAware,4902102,6,compressed,1,0.4899417183681143,0.08610641097950739,13030,2290,58.40450477600098,58.40450477600098,0,0,0,0,0,0,False,0,False,False,4.0,4.0,4.0,0,0,0,0,0,0,0,6,[],False,5281.692790333182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1997707188129425,0,0,0,0,0,0,0,5.467240698635578,0.5490710027515888,305.6312180124223,131.46754121407866,3708.612463902682,38.25430478900671,3.0658640898764133,726.1173049919307,0.29629888013005257,0.8919830434024334,0.4558512009680271,1.388750970363617,359.12072705104947,0.013730954378843307,0.07140357047319412,0.021851155906915665,2.2543990053236485,0.0,0.0,0.0,2.9694042168557644,0.29372284188866615,5281.692790333182,5650.396046985406,106.98077815746959,5281.318619847298,0.3741704858839512,360.9653292223811,4920.7274611108005,2905403392,4005404672,5422959,42143011,64039936,213909504,89874432,213909504,,,,,618.1020773171136,
49,LiteDARE-Full-ContactAware,4902102,6,compressed,2,0.5417559691671366,0.051814250799022354,14408,1378,53.20225238800049,111.60675716400146,0,0,0,0,0,0,False,0,False,False,8.0,8.0,8.0,0,0,1,4,33518,2,33518,6,[],False,5901.189431082457,33662,2,0,2,33518,0,144,6678,6678,0.5464041605591774,0.4939078353345394,1.2107943184673786,4,0,1.2758239172399044,128,26712,6678,33518,500128,0,0,5.2820430137217045,1.9032713025808334,741.773032117635,202.55468925461173,3759.7281229682267,49.73822133615613,6.931674666702747,770.138275809586,0.3209025599062443,0.9349510073661804,0.4626060836017132,1.337515190243721,359.7330511547625,0.011307653039693832,0.06327265873551369,0.01937616616487503,2.274670172482729,0.05226628854870796,3.498037811368704,0.0,6.839748006314039,0.31775934621691704,5901.189431082457,6270.244173996616,106.25390435647246,5900.838356465101,0.35107461735606194,361.53317242860794,5539.656258653849,2905403392,4005404672,7956912,44678945,61946880,213909504,89874432,213909504,,,,,626.6213538280377,
49,LiteDARE-Full-ContactAware,4902102,6,compressed,3,0.5652942282383907,0.023538259071254064,15034,626,41.8885440826416,153.49530124664307,0,0,0,1,0,1,True,0,False,True,0.0,4.0,4.0,0,0,1,5,41403,2,41403,7,[],False,5711.938431952149,41647,2,1,2,41403,100,144,8255,8255,0.5729766562581062,0.5359072238206863,1.309610903263092,4,0,1.317135989665985,128,33020,8255,41403,500128,0,0,5.389164667576551,2.0649749785661697,635.616198182106,126.96248898282647,3789.681725203991,52.64607211574912,7.339722011238337,709.4130688346922,0.357647892087698,0.9420327842235565,0.454931054264307,1.436040736734867,379.2806603014469,0.012619886547327042,0.061413273215293884,0.01912890002131462,2.4345186538994312,0.052805058658123016,3.753520082682371,0.0,7.227136753499508,0.3549349494278431,5711.938431952149,6085.962523007765,106.54811139005551,5711.584727745503,0.35370420664548874,381.1716320924461,5330.766799859703,2905403392,4005404672,10234199,46953380,61946880,213909504,89874432,213909504,,,,,631.6136208673319,
49,LiteDARE-Full-ContactAware,4902102,6,compressed,4,0.6194021432600113,0.0541079150216206,16473,1439,47.545398235321045,201.0406994819641,0,0,0,0,0,0,False,0,False,False,16.492422103881836,16.492422103881836,16.492422103881836,0,0,1,4,53918,2,53918,6,[],False,6041.681867092848,54062,2,0,2,53918,0,144,10758,10758,0.5951542407274246,0.7503260858356953,1.562402117997408,4,0,1.1611366644501686,128,43032,10758,53918,500128,0,0,5.546832922846079,2.2547966800630093,590.0461561977863,293.36861660704017,3960.6901151128113,61.24932086095214,6.34172186255455,741.7325228452682,0.3580809570848942,0.8142380975186825,0.4296828992664814,1.5102108009159565,376.99124589562416,0.012847129255533218,0.06605777889490128,0.01983996480703354,2.1038390696048737,0.0539473257958889,3.1674476340413094,0.0,6.245535798370838,0.35559479147195816,6041.681867092848,6416.686584008858,106.20695900852614,6041.333541739732,0.34832535311579704,378.9311395958066,5662.750727497041,2905403392,4005404672,10831426,47542905,61946880,213909504,89874432,213909504,,,,,660.1150191854686,
49,LiteDARE-Full-ContactAware,4902102,6,compressed,5,0.6974619289340102,0.07805978567399885,18549,2076,46.8328161239624,247.8735156059265,0,0,0,0,0,0,False,0,False,False,8.9442720413208,8.9442720413208,8.9442720413208,0,0,0,0,0,0,0,6,[],False,5716.105863917619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3184617273509502,0,0,0,0,0,0,0,5.376806948333979,0.6538149900734425,600.2270681783557,103.31090120598674,3819.867813028395,61.11166812479496,3.0678282491862774,753.8792728446424,0.3491640090942383,0.9185620583593845,0.442414078861475,1.5511522069573402,364.9932988919318,0.013821758329868317,0.0645308755338192,0.019387807697057724,2.0967992022633553,0.0,0.0,0.0,2.9837400652468204,0.3458568826317787,5716.105863917619,6085.948264983017,106.47018109653973,5715.749764814973,0.35609910264611244,366.9868651777506,5349.118998739868,2905403392,4005404672,10995094,47706609,64039936,213909504,89874432,213909504,,,,,636.6446355047325,
49,LiteDARE-Full-ContactAware,4902102,6,compressed,6,0.7784545967287084,0.08099266779469827,20703,2154,55.11708688735962,302.99060249328613,0,0,0,0,0,0,False,0,False,False,4.0,4.0,4.0,0,0,1,4,23273,2,23273,6,[],False,5786.824791692197,23417,2,0,2,23273,0,144,4629,4629,0.5057519301772118,0.5139578133821487,1.166701316833496,4,0,1.2555383145809174,128,18516,4629,66393,500128,0,0,5.452054087072611,1.8542208708822727,698.9009720273316,264.7904590703547,3797.7151861414313,69.86928777769208,6.574721075594425,561.7513181641698,0.32702134922146797,0.9212791919708252,0.4264703020453453,1.4980570413172245,376.4108861796558,0.01056678593158722,0.06196415051817894,0.019313767552375793,2.149615902453661,0.05518319085240364,3.343085292726755,0.0,6.483430042862892,0.32449420541524887,5786.824791692197,6162.087276985403,106.48477358139385,5786.491933278739,0.3328584134578705,378.33541352301836,5408.489378169179,2905403392,4005404672,13091738,49803769,61946880,213909504,89874432,213909504,,,,,632.9525310235719,
49,LiteDARE-Full-ContactAware,4902102,6,compressed,7,0.8242150780221846,0.04576048129347621,21920,1217,49.91483449935913,352.90543699264526,0,0,0,0,0,0,False,0,False,False,4.0,4.0,4.0,0,0,1,4,53418,2,53418,7,[],False,6122.950472868979,53562,2,0,2,53418,0,144,10658,10658,0.5396008491516113,0.689052976667881,1.4447569847106934,4,0,1.1715134605765343,128,42632,10658,53418,500128,0,0,5.3893099538981915,2.114953938871622,767.7727090194821,334.4568759202957,3814.885946922004,85.40437137708068,7.347465958446264,720.0975948944688,0.3483169712126255,0.8475161157548428,0.4284619353711605,1.6315090470016003,381.863075774163,0.01305295154452324,0.06670830771327019,0.01920945942401886,2.354620024561882,0.06016204133629799,3.834386821836233,0.0,7.25554721429944,0.34585408866405487,6122.950472868979,6497.061838017544,106.10998515840141,6122.588107828051,0.3623650409281254,383.92304675653577,5739.027426112443,2905403392,4005404672,15616469,52328426,61946880,213909504,89874432,213909504,,,,,635.8143244870007,
49,LiteDARE-Full-ContactAware,4902102,6,compressed,8,0.8638841887572852,0.0396691107351006,22975,1055,53.20225238800049,406.10768938064575,0,0,0,0,0,0,False,0,False,False,4.0,4.0,4.0,0,0,1,6,128,2,128,6,[],False,5621.802616864443,469,2,2,2,128,197,144,0,0,0.4129558801651001,0.14730775728821754,0.6653415039181709,4,0,1.1613117530941963,128,0,0,92488,500128,0,0,5.795706063508987,1.4054789207875729,555.5467619560659,214.64284136891365,3690.27620786801,88.656485080719,6.892152596265078,694.2104711197317,0.35323528572916985,0.7720640860497952,0.3934907726943493,1.4410982839763165,361.0457838512957,0.014733057469129562,0.07220404222607613,0.021033920347690582,2.295801416039467,0.06550224497914314,3.3438997343182564,0.0,6.7857420071959496,0.35042082890868187,5621.802616864443,5989.4294969853945,106.53930607627764,5621.431777253747,0.37083961069583893,362.8803729079664,5258.922243956476,2905403392,4005404672,17586409,54298440,64039936,213909504,89874432,213909504,,,,,615.0460346446683,
49,LiteDARE-Full-ContactAware,4902102,6,compressed,9,0.9027260763301372,0.03884188757285201,24008,1033,50.85910654067993,456.9667959213257,0,0,0,1,0,1,True,0,False,True,0.0,4.0,4.0,0,0,1,6,128,2,128,7,[],False,5704.670327715576,469,2,2,2,128,197,144,0,0,0.3900318406522274,0.13992469757795334,0.6277849897742271,4,0,1.2524924241006374,128,0,0,92488,500128,0,0,5.377606023102999,1.2825033627450466,538.9467957429588,286.0603588633239,3671.6763069853187,89.32536514475942,6.443319842219353,730.1071723923087,0.3345920704305172,0.9172540158033371,0.4206649027764797,1.39974569901824,372.00309010222554,0.013773329555988312,0.07100822404026985,0.020511914044618607,2.393102739006281,0.0625872053205967,2.918240614235401,0.0,6.342278327792883,0.3314344212412834,5704.670327715576,6077.984896983253,106.54401653070056,5704.294775146991,0.37555256858468056,373.82350070402026,5330.846827011555,2905403392,4005404672,19538275,56249665,64039936,213909504,89874432,213909504,,,,,611.9460511642197,
49,LiteDARE-Full-ContactAware,4902102,6,compressed,10,0.9027260763301372,0.0,24008,0,49.20225238800049,506.1690483093262,0,0,0,0,0,0,False,0,False,False,5.656854152679443,4.0,4.0,0,0,3,12,234264,6,234264,6,[],False,5990.711446851492,234696,6,0,6,234264,0,432,46776,46776,1.8287580460309982,1.900241244584322,4.450277891010046,12,0,1.3213814236223698,384,187104,46776,326624,1500384,0,0,5.637507885694504,5.448858253657818,843.0921989493072,306.98654940351844,3606.4104442484677,85.7197460718453,7.535520941019058,755.6092021986842,0.366890337318182,0.9223511442542076,0.36516599357128143,1.4347261749207973,367.5468619912863,0.01651095226407051,0.07662316784262657,0.02134125679731369,2.2712508216500282,0.12993300333619118,3.9170850068330765,0.0,7.424623239785433,0.3638449124991894,5990.711446851492,6359.833177994005,106.16156752695059,5990.303634665906,0.4078121855854988,372.5743652321398,5618.137081619352,2905403392,4005404672,22445898,59164757,60900352,213909504,89874432,213909504,,,,,601.0684073747447,3.2276110723614693
