episode,method,seed,team_size,communication_mode,step,coverage,coverage_delta,known_free_cells,newly_explored_free_cells,step_path_length,cumulative_team_path_length,waiting_robots,deadlocked_robots,deadlock_recoveries,preferred_vertex_conflicts,preferred_swap_conflicts,preferred_proximity_conflicts,preferred_conflict_step,actual_collision_pairs,actual_collision_step,conflict_avoided_step,minimum_preferred_pairwise_distance,minimum_proposed_pairwise_distance,minimum_actual_pairwise_distance,dynamic_safety_blocks,static_safety_blocks,contact_pairs,communication_packets_delta,communication_bytes_delta,map_packets_delta,map_bytes_delta,resolver_backtracking_nodes,escape_robot_ids,used_serial_fallback,step_runtime_ms,communication_payload_bytes_delta,communication_map_packets_delta,communication_region_packets_delta,communication_motion_packets_delta,communication_map_bytes_delta,communication_region_bytes_delta,communication_motion_bytes_delta,communication_payload_cells_delta,communication_cells_received_delta,communication_encode_ms_delta,communication_decode_apply_ms_delta,communication_exchange_wall_ms_delta,communication_delivery_events_delta,communication_conflicts_delta,communication_local_map_sync_ms_delta,communication_header_bytes_delta,communication_index_bytes_delta,communication_value_bytes_delta,communication_raw_equivalent_bytes_delta,communication_dense_grid_reference_bytes_delta,communication_deferred_cells_delta,communication_packet_losses_delta,contact_detection_ms,map_local_sync_and_exchange_ms,observation_graph_refresh_ms,dynamic_region_update_ms,policy_inference_team_ms,candidate_generation_ms,motion_coordination_facade_ms,environment_step_ms,deadlock_state_update_ms,post_step_local_map_sync_ms,region_event_io_ms,metric_state_snapshot_ms,visualization_frame_ms,preferred_action_selection_ms,deadlock_priority_ms,deadlock_escape_ms,collision_resolution_ms,motion_exchange_ms,motion_filter_ms,graph_backtrack_ms,coordination_total_ms,deadlock_state_update_internal_ms,profiled_step_wall_ms,step_process_cpu_ms,step_process_cpu_utilisation_percent,timed_components_sum_ms,unattributed_step_ms,recording_and_output_overhead_ms,control_step_wall_excluding_output_ms,process_rss_bytes,process_peak_rss_bytes,python_tracemalloc_current_bytes,python_tracemalloc_peak_bytes,gpu_memory_allocated_bytes,gpu_memory_reserved_bytes,gpu_peak_memory_allocated_bytes,gpu_peak_memory_reserved_bytes,gpu_power_watts,gpu_utilisation_percent,gpu_memory_utilisation_percent,gpu_temperature_c,policy_inference_per_robot_ms,debug_diagnostics_ms
51,LiteDARE-Full-ContactAware,5103082,4,raw,1,0.264482666564967,0.00038137370809654403,6935,10,33.8885440826416,33.8885440826416,0,0,0,0,0,0,False,0,False,False,4.0,4.0,4.0,0,0,0,0,0,0,0,4,[],False,3854.890814051032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8830646984279156,0,0,0,0,0,0,0,2.3756870068609715,0.42139412835240364,293.65357058122754,126.57696288079023,2571.697808802128,32.264839857816696,1.940073911100626,527.2725219838321,0.28571998700499535,0.640475656837225,0.3744061104953289,0.7726871408522129,296.2540672160685,0.010182149708271027,0.05877204239368439,0.017974991351366043,1.299642026424408,0.0,0.0,0.0,1.8440871499478817,0.2827690914273262,3854.890814051032,4219.875308990595,109.46808904701525,3854.5302152633667,0.3605987876653671,297.40116046741605,3557.489653583616,2941509632,4009119744,4563936,41272202,59853824,213909504,85688320,213909504,,,,,642.924452200532,
51,LiteDARE-Full-ContactAware,5103082,4,raw,2,0.2736737729300942,0.00919110636512721,7176,241,29.8885440826416,63.7770881652832,0,0,0,1,0,1,True,0,False,True,0.0,4.0,4.0,0,0,2,8,63336,4,63336,4,[],False,3995.3952520154417,63624,4,0,4,63336,0,288,12616,12616,0.9532542899250984,0.8999141864478588,2.1522254683077335,8,0,0.8953632786870003,256,50464,12616,63336,1000256,0,0,2.543681301176548,2.782797906547785,504.97294543311,150.4158959724009,2476.7912379465997,44.57132890820503,6.105119828134775,496.6228976845741,0.2780100330710411,0.6642201915383339,0.40850695222616196,0.847947783768177,308.0503079108894,0.008898787200450897,0.055930111557245255,0.01676008105278015,1.320632640272379,0.08528027683496475,3.8206358440220356,0.0,6.019656080752611,0.27511967346072197,3995.3952520154417,4363.4571000002325,109.21215110818198,3995.054897852242,0.34035416319966316,309.3067626468837,3686.088489368558,2941509632,4009119744,7032560,43745498,55667712,213909504,85688320,213909504,,,,,619.1978094866499,
51,LiteDARE-Full-ContactAware,5103082,4,raw,3,0.28519125891461045,0.01151748598451624,7478,302,28.9442720413208,92.721360206604,0,0,0,0,0,0,False,0,False,False,5.656854152679443,5.656854152679443,5.656854152679443,0,0,1,5,34003,2,34003,4,[],False,3662.6174827106297,34247,2,1,2,34003,100,144,6775,6775,0.49756187945604324,0.4268134944140911,1.096577849239111,4,0,0.8659055456519127,128,27100,6775,34003,500128,0,0,2.468830905854702,1.6268189065158367,286.2989869900048,66.03884231299162,2500.0899247825146,33.93970895558596,4.787820857018232,464.79909121990204,0.24896487593650818,0.596185214817524,0.2846880815923214,0.816588755697012,300.29612174257636,0.009595882147550583,0.055347103625535965,0.016872771084308624,1.1681909672915936,0.057126861065626144,2.7786600403487682,0.0,4.703644663095474,0.2460246905684471,3662.6174827106297,4026.2836039910326,109.92913191172944,3662.2925736010075,0.32490910962224007,301.3973985798657,3361.220084130764,2941509632,4009119744,7087137,43803236,57760768,213909504,85688320,213909504,,,,,625.0224811956286,
51,LiteDARE-Full-ContactAware,5103082,4,raw,4,0.32504481141070135,0.039853552496090905,8523,1045,36.25798034667969,128.9793405532837,0,0,0,0,0,0,False,0,False,False,8.9442720413208,8.9442720413208,8.9442720413208,0,0,1,5,34803,2,34803,4,[],False,3579.616730567068,35047,2,1,2,34803,100,144,6935,6935,0.47851819545030594,0.3924923948943615,1.0556667111814022,4,0,0.9121038019657135,128,27740,6935,34803,500128,0,0,2.361868042498827,1.5812693163752556,277.71184174343944,48.421296291053295,2440.682324115187,34.89495301619172,4.882097244262695,456.11599599942565,0.27780188247561455,0.6465092301368713,0.3376970998942852,0.855680089443922,310.50018267706037,0.011179130524396896,0.0646570697426796,0.018032733350992203,1.2328298762440681,0.0641997903585434,2.682170830667019,0.0,4.783872049301863,0.2747168764472008,3579.616730567068,3947.4159959936514,110.27482250504283,3579.269516747445,0.34721381962299347,311.6935598663986,3267.9231707006693,2941509632,4009119744,7163977,43877857,58807296,213909504,85688320,213909504,,,,,610.1705810287967,
51,LiteDARE-Full-ContactAware,5103082,4,raw,5,0.3818313565462797,0.05678654513557835,10012,1489,33.8885440826416,162.8678846359253,0,0,0,0,0,0,False,0,False,False,8.9442720413208,8.0,8.0,0,0,1,4,48018,2,48018,4,[],False,3748.0543409474194,48162,2,0,2,48018,0,144,9578,9578,0.519369263201952,0.5003246478736401,1.239872071892023,4,0,0.940216239541769,128,38312,9578,48018,500128,0,0,2.51768808811903,1.7710751853883266,317.4007027409971,113.0861658602953,2485.4994229972363,46.273558866232634,4.9530696123838425,476.10488161444664,0.2506510354578495,0.6962986662983894,0.3685201518237591,0.8565057069063187,297.9292031377554,0.010062940418720245,0.0603492371737957,0.0181528739631176,1.2570759281516075,0.05882885307073593,2.79934611171484,0.0,4.864325746893883,0.2480209805071354,3748.0543409474194,4114.857563006808,109.78649690459584,3747.707743663341,0.346597284078598,299.1542289964855,3448.900111950934,2941509632,4009119744,8924436,45638976,57760768,213909504,85688320,213909504,,,,,621.3748557493091,
51,LiteDARE-Full-ContactAware,5103082,4,raw,6,0.4260325693146714,0.04420121276839173,11171,1159,32.25798034667969,195.12586498260498,0,0,0,0,0,0,False,0,False,False,11.313708305358887,12.0,12.0,0,0,1,4,53508,2,53508,4,[],False,3718.4079540893435,53652,2,0,2,53508,0,144,10676,10676,0.5235881544649601,0.45084673911333084,1.1866558343172073,4,0,0.8946936577558517,128,42704,10676,53508,500128,0,0,2.349349670112133,1.7149532213807106,321.6464640572667,118.70790319517255,2462.607489898801,53.50145511329174,5.417682230472565,449.3497461080551,0.2714688889682293,0.6568208336830139,0.34454697743058205,0.8087949827313423,300.686351954937,0.011830125004053116,0.06313296034932137,0.018970109522342682,1.3024150393903255,0.06299884989857674,3.1424490734934807,0.0,5.320772994309664,0.26811007410287857,3718.4079540893435,4084.7509620070923,109.85214673701577,3718.0630271323025,0.34492695704102516,301.8396939150989,3416.5682601742446,2941509632,4009119744,10734012,47448409,58807296,213909504,85688320,213909504,,,,,615.6518724747002,
51,LiteDARE-Full-ContactAware,5103082,4,raw,7,0.5180580450783723,0.09202547576370085,13584,2413,34.62741661071777,229.75328159332275,0,0,0,0,0,0,False,0,False,False,17.8885440826416,17.8885440826416,17.8885440826416,0,0,1,4,54733,2,54733,4,[],False,4050.197734963149,54877,2,0,2,54733,0,144,10921,10921,0.5092560313642025,0.5100290291011333,1.218907069414854,4,0,0.9052935056388378,128,43684,10921,54733,500128,0,0,2.3276391439139843,1.7276788130402565,398.1783017516136,180.66436797380447,2605.7430719956756,49.87772414460778,4.1804988868534565,489.59329491481185,0.2373112365603447,0.674090813845396,0.3548990935087204,0.8549490012228489,315.46057714149356,0.011527910828590393,0.05781510844826698,0.016922596842050552,1.1036088690161705,0.05475711077451706,2.3070122115314007,0.0,4.088008310645819,0.2344958484172821,4050.197734963149,4421.107513000607,109.15781900808437,4049.874404910952,0.3233300521969795,316.6704252362251,3733.5273097269237,2941509632,4009119744,10970935,47685575,57760768,213909504,85688320,213909504,,,,,651.4357679989189,
51,LiteDARE-Full-ContactAware,5103082,4,raw,8,0.5317874985698486,0.013729453491476362,13944,360,32.9442720413208,262.69755363464355,0,0,0,0,0,0,False,0,False,False,4.0,8.0,8.0,0,0,0,0,0,0,0,4,[],False,3917.5615487620234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8468478918075562,0,0,0,0,0,0,0,2.3458623327314854,0.41357800364494324,403.4655671566725,236.94522306323051,2565.639822278172,59.21685369685292,2.1701199002563953,341.95797238498926,0.24205399677157402,0.6051911041140556,0.3447839990258217,0.8064787834882736,303.0900242738426,0.00901566818356514,0.05705095827579498,0.018452759832143784,1.317501999437809,0.0,0.0,0.0,2.0802426151931286,0.237942673265934,3917.5615487620234,4284.249300006195,109.36010185621838,3917.243530973792,0.31801778823137283,304.24128705635667,3613.320261705667,2941509632,4009119744,11143093,47865331,59853824,213909504,85688320,213909504,,,,,641.409955569543,
51,LiteDARE-Full-ContactAware,5103082,4,raw,9,0.589222379009191,0.05743488043934242,15450,1506,25.8885440826416,288.58609771728516,0,0,0,0,0,0,False,0,False,False,8.0,5.656854152679443,5.656854152679443,0,0,1,4,67418,2,67418,4,[],False,3940.5571133829653,67562,2,0,2,67418,0,144,13458,13458,0.5285139195621014,0.5594254471361637,1.3380819000303745,4,0,0.9091431275010109,128,53832,13458,67418,500128,0,0,2.2748950868844986,1.8590167164802551,367.7504160441458,187.14892212301493,2551.1421840637922,58.25311131775379,3.92127875238657,468.7063982710242,0.2400130033493042,0.6612930446863174,0.3304029814898968,0.807981938123703,297.10154281929135,0.010912306606769562,0.05798926576972008,0.017039012163877487,1.1042151600122452,0.057383906096220016,2.034827135503292,0.0,3.831780981272459,0.2364879474043846,3940.5571133829653,4307.355345008546,109.30828360233266,3940.197456162423,0.3596572205424309,298.23992773890495,3642.3171856440604,2941509632,4009119744,12863284,49578644,57760768,213909504,85688320,213909504,,,,,637.7855460159481,
51,LiteDARE-Full-ContactAware,5103082,4,raw,10,0.5929217039777278,0.0036993249685367546,15547,97,30.601126194000244,319.1872239112854,0,0,0,0,0,0,False,0,False,False,8.9442720413208,8.9442720413208,8.9442720413208,0,0,0,0,0,0,0,4,[],False,3910.121015738696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9162086062133312,0,0,0,0,0,0,0,2.2409800440073013,0.4010903649032116,396.617763210088,86.18865115568042,2573.4962560236454,63.818372786045074,1.999374944716692,482.0115906186402,0.2737622708082199,0.6902096793055534,0.360364094376564,0.83136186003685,299.14675699546933,0.01028226688504219,0.062080565840005875,0.01769373193383217,1.2238710187375546,0.0,0.0,0.0,1.9066608510911465,0.2703610807657242,3910.121015738696,4278.022919010255,109.40896462771128,3909.7731062211096,0.34790951758623123,302.03505512326956,3608.0859606154263,2941509632,4009119744,14696094,51411476,59853824,213909504,85688320,213909504,,,,,643.3740640059114,1.6965721733868122
