episode,method,seed,team_size,communication_mode,step,coverage,coverage_delta,known_free_cells,newly_explored_free_cells,step_path_length,cumulative_team_path_length,waiting_robots,deadlocked_robots,deadlock_recoveries,preferred_vertex_conflicts,preferred_swap_conflicts,preferred_proximity_conflicts,preferred_conflict_step,actual_collision_pairs,actual_collision_step,conflict_avoided_step,minimum_preferred_pairwise_distance,minimum_proposed_pairwise_distance,minimum_actual_pairwise_distance,dynamic_safety_blocks,static_safety_blocks,contact_pairs,communication_packets_delta,communication_bytes_delta,map_packets_delta,map_bytes_delta,resolver_backtracking_nodes,escape_robot_ids,used_serial_fallback,step_runtime_ms,communication_payload_bytes_delta,communication_map_packets_delta,communication_region_packets_delta,communication_motion_packets_delta,communication_map_bytes_delta,communication_region_bytes_delta,communication_motion_bytes_delta,communication_payload_cells_delta,communication_cells_received_delta,communication_encode_ms_delta,communication_decode_apply_ms_delta,communication_exchange_wall_ms_delta,communication_delivery_events_delta,communication_conflicts_delta,communication_local_map_sync_ms_delta,communication_header_bytes_delta,communication_index_bytes_delta,communication_value_bytes_delta,communication_raw_equivalent_bytes_delta,communication_dense_grid_reference_bytes_delta,communication_deferred_cells_delta
77,LiteDARE-Full-ContactAware,7703102,6,compressed,1,0.507036935328848,0.11183578195798433,14771,3258,56.515960693359375,56.515960693359375,0,0,0,0,0,0,False,0,False,False,20.0,20.0,20.0,0,0,0,0,0,0,0,6,[],False,2184.8087990656495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7989653386175632,0,0,0,0,0,0
77,LiteDARE-Full-ContactAware,7703102,6,compressed,2,0.5438349581216532,0.036798022792805196,15843,1072,44.25798034667969,100.77394104003906,0,0,0,0,0,0,False,0,False,False,8.9442720413208,8.9442720413208,8.9442720413208,0,0,0,0,0,0,0,6,[],False,2354.0648920461535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.635046511888504,0,0,0,0,0,0
77,LiteDARE-Full-ContactAware,7703102,6,compressed,3,0.5909652615680352,0.04713030344638203,17216,1373,53.94112491607666,154.71506595611572,0,0,0,0,0,0,False,0,False,False,11.313708305358887,8.9442720413208,8.9442720413208,0,0,1,4,32963,2,32963,6,[],False,2227.3098211735487,33107,2,0,2,32963,0,144,6567,6567,0.08840160444378853,0.1895981840789318,0.3346945159137249,4,0,0.6495299749076366,128,26268,6567,32963,500128,0
77,LiteDARE-Full-ContactAware,7703102,6,compressed,4,0.6668268570643966,0.0758615954963614,19426,2210,49.8885440826416,204.60361003875732,0,0,0,0,0,0,False,0,False,False,8.0,8.0,8.0,0,0,1,6,5338,2,5338,6,[],False,2206.2207791022956,5682,2,2,2,5338,200,144,1042,1042,0.07270602509379387,0.08640578016638756,0.1910049468278885,4,0,0.6795553490519524,128,4168,1042,58848,500128,0
77,LiteDARE-Full-ContactAware,7703102,6,compressed,5,0.6923314568172456,0.025504599752849022,20169,743,44.25798034667969,248.861590385437,0,0,0,0,0,0,False,0,False,False,16.970561981201172,16.970561981201172,16.970561981201172,0,0,1,4,51263,2,51263,6,[],False,2409.3011133372784,51407,2,0,2,51263,0,144,10227,10227,0.10683899745345116,0.2502040006220341,0.42475294321775436,4,0,0.7070270366966724,128,40908,10227,51263,500128,0
77,LiteDARE-Full-ContactAware,7703102,6,compressed,6,0.7090141425236853,0.016682685706439715,20655,486,58.40450477600098,307.266095161438,0,0,0,0,0,0,False,0,False,False,5.656854152679443,5.656854152679443,5.656854152679443,0,0,0,0,0,0,0,6,[],False,2408.410159870982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6785104051232338,0,0,0,0,0,0
77,LiteDARE-Full-ContactAware,7703102,6,compressed,7,0.7534326513799259,0.044418508856240546,21949,1294,53.460232734680176,360.72632789611816,0,0,0,0,0,0,False,0,False,False,4.0,5.656854152679443,5.656854152679443,0,0,1,4,79608,2,79608,6,[],False,2305.2378888241947,79752,2,0,2,79608,0,144,15896,15896,0.12114085257053375,0.35548023879528046,0.5846112035214901,4,0,0.6793872453272343,128,63584,15896,79608,500128,0
77,LiteDARE-Full-ContactAware,7703102,6,compressed,8,0.8202663737470822,0.06683372236715635,23896,1947,38.601126194000244,399.3274540901184,0,0,0,1,0,1,True,0,False,True,0.0,4.0,4.0,0,0,1,5,128,2,128,6,[],False,2309.7038781270385,372,2,1,2,128,100,144,0,0,0.05684699863195419,0.027359463274478912,0.10950211435556412,4,0,0.6654374301433563,128,0,0,122068,500128,0
77,LiteDARE-Full-ContactAware,7703102,6,compressed,9,0.8493409309350543,0.029074557187972028,24743,847,48.25798034667969,447.5854344367981,0,0,0,0,0,0,False,0,False,False,4.0,4.0,4.0,0,0,1,5,128,2,128,6,[],False,2331.823583226651,372,2,1,2,128,100,144,0,0,0.0547897070646286,0.02332916483283043,0.10393792763352394,4,0,0.6653531454503536,128,0,0,122068,500128,0
77,LiteDARE-Full-ContactAware,7703102,6,compressed,10,0.9071811066868049,0.0578401757517506,26428,1685,50.62741661071777,498.21285104751587,0,0,0,0,0,0,False,0,False,False,11.313708305358887,11.313708305358887,11.313708305358887,0,0,1,5,128,2,128,6,[],False,2417.469337116927,372,2,1,2,128,100,144,0,0,0.06427569314837456,0.024646054953336716,0.11473847553133965,4,0,0.7015527226030827,128,0,0,122068,500128,0
