scenario_id,map_index,trial,team_size,seed,communication_mode,start_positions,selected_start_seed,start_cells,source_method
map_0000_trial_00_robots_02_seed_62_mapcomm_compressed,0,0,2,62,compressed,"[[20.0,24.0],[-52.0,-44.0]]",62,"[[223, 210], [43, 40]]",full
map_0000_trial_00_robots_02_seed_62_mapcomm_none,0,0,2,62,none,"[[20.0,24.0],[-52.0,-44.0]]",62,"[[223, 210], [43, 40]]",full
map_0000_trial_00_robots_02_seed_62_mapcomm_raw,0,0,2,62,raw,"[[20.0,24.0],[-52.0,-44.0]]",62,"[[223, 210], [43, 40]]",full
map_0000_trial_00_robots_04_seed_82_mapcomm_compressed,0,0,4,82,compressed,"[[-40.0,-16.0],[4.0,24.0],[-8.0,16.0],[-36.0,16.0]]",82,"[[73, 110], [183, 210], [153, 190], [83, 190]]",full
map_0000_trial_00_robots_04_seed_82_mapcomm_none,0,0,4,82,none,"[[-40.0,-16.0],[4.0,24.0],[-8.0,16.0],[-36.0,16.0]]",82,"[[73, 110], [183, 210], [153, 190], [83, 190]]",full
map_0000_trial_00_robots_04_seed_82_mapcomm_raw,0,0,4,82,raw,"[[-40.0,-16.0],[4.0,24.0],[-8.0,16.0],[-36.0,16.0]]",82,"[[73, 110], [183, 210], [153, 190], [83, 190]]",full
map_0000_trial_00_robots_06_seed_102_mapcomm_compressed,0,0,6,102,compressed,"[[12.0,24.0],[12.0,-48.0],[-48.0,0.0],[-20.0,-52.0],[-52.0,-40.0],[-64.0,32.0]]",102,"[[203, 210], [203, 30], [53, 150], [123, 20], [43, 50], [13, 230]]",full
map_0000_trial_00_robots_06_seed_102_mapcomm_none,0,0,6,102,none,"[[12.0,24.0],[12.0,-48.0],[-48.0,0.0],[-20.0,-52.0],[-52.0,-40.0],[-64.0,32.0]]",102,"[[203, 210], [203, 30], [53, 150], [123, 20], [43, 50], [13, 230]]",full
map_0000_trial_00_robots_06_seed_102_mapcomm_raw,0,0,6,102,raw,"[[12.0,24.0],[12.0,-48.0],[-48.0,0.0],[-20.0,-52.0],[-52.0,-40.0],[-64.0,32.0]]",102,"[[203, 210], [203, 30], [53, 150], [123, 20], [43, 50], [13, 230]]",full
map_0000_trial_00_robots_08_seed_122_mapcomm_compressed,0,0,8,122,compressed,"[[0.0,16.0],[-12.0,-4.0],[-28.0,24.0],[-52.0,-44.0],[24.0,24.0],[4.0,4.0],[-4.0,-24.0],[16.0,-48.0]]",122,"[[173, 190], [143, 140], [103, 210], [43, 40], [233, 210], [183, 160], [163, 90], [213, 30]]",full
map_0000_trial_00_robots_08_seed_122_mapcomm_none,0,0,8,122,none,"[[0.0,16.0],[-12.0,-4.0],[-28.0,24.0],[-52.0,-44.0],[24.0,24.0],[4.0,4.0],[-4.0,-24.0],[16.0,-48.0]]",122,"[[173, 190], [143, 140], [103, 210], [43, 40], [233, 210], [183, 160], [163, 90], [213, 30]]",full
map_0000_trial_00_robots_08_seed_122_mapcomm_raw,0,0,8,122,raw,"[[0.0,16.0],[-12.0,-4.0],[-28.0,24.0],[-52.0,-44.0],[24.0,24.0],[4.0,4.0],[-4.0,-24.0],[16.0,-48.0]]",122,"[[173, 190], [143, 140], [103, 210], [43, 40], [233, 210], [183, 160], [163, 90], [213, 30]]",full
map_0000_trial_01_robots_02_seed_1062_mapcomm_compressed,0,1,2,1062,compressed,"[[-20.0,-52.0],[0.0,20.0]]",1062,"[[123, 20], [173, 200]]",full
