episode,method,seed,team_size,communication_mode,step,coverage,coverage_delta,known_free_cells,newly_explored_free_cells,step_path_length,cumulative_team_path_length,waiting_robots,deadlocked_robots,deadlock_recoveries,preferred_vertex_conflicts,preferred_swap_conflicts,preferred_proximity_conflicts,preferred_conflict_step,actual_collision_pairs,actual_collision_step,conflict_avoided_step,minimum_preferred_pairwise_distance,minimum_proposed_pairwise_distance,minimum_actual_pairwise_distance,dynamic_safety_blocks,static_safety_blocks,contact_pairs,communication_packets_delta,communication_bytes_delta,map_packets_delta,map_bytes_delta,resolver_backtracking_nodes,escape_robot_ids,used_serial_fallback,step_runtime_ms,communication_payload_bytes_delta,communication_map_packets_delta,communication_region_packets_delta,communication_motion_packets_delta,communication_map_bytes_delta,communication_region_bytes_delta,communication_motion_bytes_delta,communication_payload_cells_delta,communication_cells_received_delta,communication_encode_ms_delta,communication_decode_apply_ms_delta,communication_exchange_wall_ms_delta,communication_delivery_events_delta,communication_conflicts_delta,communication_local_map_sync_ms_delta,communication_header_bytes_delta,communication_index_bytes_delta,communication_value_bytes_delta,communication_raw_equivalent_bytes_delta,communication_dense_grid_reference_bytes_delta,communication_deferred_cells_delta,communication_packet_losses_delta
50,LiteDARE-Full-ContactAware,5002062,2,compressed,1,0.24316493313521545,0.07778603268945022,6546,2094,16.9442720413208,16.9442720413208,0,0,0,0,0,0,False,0,False,False,32.0,32.0,32.0,0,0,0,0,0,0,0,2,[],False,941.5039140731096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40239235386252403,0,0,0,0,0,0,0
50,LiteDARE-Full-ContactAware,5002062,2,compressed,2,0.29037890044576525,0.047213967310549804,7817,1271,14.601126194000244,31.545398235321045,0,0,0,0,0,0,False,0,False,False,32.0,32.24903106689453,32.24903106689453,0,0,0,0,0,0,0,2,[],False,952.0439123734832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38659293204545975,0,0,0,0,0,0,0
50,LiteDARE-Full-ContactAware,5002062,2,compressed,3,0.32262258543833583,0.032243684992570576,8685,868,16.0,47.545398235321045,0,0,0,0,0,0,False,0,False,False,40.199501037597656,40.199501037597656,40.199501037597656,0,0,0,0,0,0,0,2,[],False,946.0422717966139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37932442501187325,0,0,0,0,0,0,0
50,LiteDARE-Full-ContactAware,5002062,2,compressed,4,0.35304606240713227,0.030423476968796437,9504,819,13.656854152679443,61.20225238800049,0,0,0,0,0,0,False,0,False,False,44.72135925292969,44.72135925292969,44.72135925292969,0,0,0,0,0,0,0,2,[],False,893.4405110776424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3675599582493305,0,0,0,0,0,0,0
50,LiteDARE-Full-ContactAware,5002062,2,compressed,5,0.3638187221396731,0.010772659732540824,9794,290,17.8885440826416,79.09079647064209,0,0,0,0,0,0,False,0,False,False,30.463092803955078,32.24903106689453,32.24903106689453,0,0,0,0,0,0,0,2,[],False,937.4578730203211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36847684532403946,0,0,0,0,0,0,0
50,LiteDARE-Full-ContactAware,5002062,2,compressed,6,0.4160104011887073,0.05219167904903421,11199,1405,20.257980346679688,99.34877681732178,0,0,0,0,0,0,False,0,False,False,22.627416610717773,22.627416610717773,22.627416610717773,0,0,0,0,0,0,0,2,[],False,919.1812500357628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39797602221369743,0,0,0,0,0,0,0
50,LiteDARE-Full-ContactAware,5002062,2,compressed,7,0.4604011887072808,0.044390787518573505,12394,1195,17.8885440826416,117.23732089996338,0,0,0,0,0,0,False,0,False,False,23.323806762695312,23.323806762695312,23.323806762695312,0,0,0,0,0,0,0,2,[],False,925.3941201604903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35047857090830803,0,0,0,0,0,0,0
50,LiteDARE-Full-ContactAware,5002062,2,compressed,8,0.5218424962852898,0.061441307578008975,14048,1654,16.9442720413208,134.18159294128418,0,0,0,0,0,0,False,0,False,False,26.832815170288086,26.832815170288086,26.832815170288086,0,0,0,0,0,0,0,2,[],False,951.2617490254343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36081159487366676,0,0,0,0,0,0,0
50,LiteDARE-Full-ContactAware,5002062,2,compressed,9,0.5804234769687965,0.0585809806835067,15625,1577,20.257980346679688,154.43957328796387,0,0,0,0,0,0,False,0,False,False,32.24903106689453,34.4093017578125,34.4093017578125,0,0,0,0,0,0,0,2,[],False,1004.2128418572247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3480575978755951,0,0,0,0,0,0,0
50,LiteDARE-Full-ContactAware,5002062,2,compressed,10,0.5916419019316493,0.011218424962852858,15927,302,17.8885440826416,172.32811737060547,0,0,0,0,0,0,False,0,False,False,36.22154235839844,36.22154235839844,36.22154235839844,0,0,0,0,0,0,0,2,[],False,974.1290132515132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3352537751197815,0,0,0,0,0,0,0
50,LiteDARE-Full-ContactAware,5002062,2,compressed,11,0.6416419019316494,0.050000000000000044,17273,1346,16.0,188.32811737060547,0,0,0,0,0,0,False,0,False,False,37.947330474853516,37.947330474853516,37.947330474853516,0,0,0,0,0,0,0,2,[],False,806.4938317984343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368769746273756,0,0,0,0,0,0,0
50,LiteDARE-Full-ContactAware,5002062,2,compressed,12,0.6506315007429421,0.008989598811292687,17515,242,16.9442720413208,205.27238941192627,0,0,0,0,0,0,False,0,False,False,48.82622146606445,48.82622146606445,48.82622146606445,0,0,0,0,0,0,0,2,[],False,1059.978916309774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3649340942502022,0,0,0,0,0,0,0
