episode,method,seed,team_size,communication_mode,step,coverage,coverage_delta,known_free_cells,newly_explored_free_cells,step_path_length,cumulative_team_path_length,waiting_robots,deadlocked_robots,deadlock_recoveries,preferred_vertex_conflicts,preferred_swap_conflicts,preferred_proximity_conflicts,preferred_conflict_step,actual_collision_pairs,actual_collision_step,conflict_avoided_step,minimum_preferred_pairwise_distance,minimum_proposed_pairwise_distance,minimum_actual_pairwise_distance,dynamic_safety_blocks,static_safety_blocks,contact_pairs,communication_packets_delta,communication_bytes_delta,map_packets_delta,map_bytes_delta,resolver_backtracking_nodes,escape_robot_ids,used_serial_fallback,step_runtime_ms,communication_payload_bytes_delta,communication_map_packets_delta,communication_region_packets_delta,communication_motion_packets_delta,communication_map_bytes_delta,communication_region_bytes_delta,communication_motion_bytes_delta,communication_payload_cells_delta,communication_cells_received_delta,communication_encode_ms_delta,communication_decode_apply_ms_delta,communication_exchange_wall_ms_delta,communication_delivery_events_delta,communication_conflicts_delta,communication_local_map_sync_ms_delta,communication_header_bytes_delta,communication_index_bytes_delta,communication_value_bytes_delta,communication_raw_equivalent_bytes_delta,communication_dense_grid_reference_bytes_delta,communication_deferred_cells_delta,communication_packet_losses_delta
53,LiteDARE-MapOnly,5300062,2,compressed,1,0.26813115228720324,0.027468152866242046,7409,759,16.9442720413208,16.9442720413208,0,0,0,0,0,0,False,0,False,False,43.26661682128906,43.26661682128906,43.26661682128906,0,0,0,0,0,0,0,0,[],False,914.2183908261359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3441544249653816,0,0,0,0,0,0,0
53,LiteDARE-MapOnly,5300062,2,compressed,2,0.2949116965836711,0.026780544296467867,8149,740,12.0,28.9442720413208,0,0,0,0,0,0,False,0,False,False,48.332183837890625,48.332183837890625,48.332183837890625,0,0,0,0,0,0,0,0,[],False,831.3533919863403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32111257314682007,0,0,0,0,0,0,0
53,LiteDARE-MapOnly,5300062,2,compressed,3,0.33837579617834396,0.043464099594672845,9350,1201,13.656854152679443,42.601126194000244,0,0,0,0,0,0,False,0,False,False,58.24087905883789,58.24087905883789,58.24087905883789,0,0,0,0,0,0,0,0,[],False,843.1421099230647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3507351502776146,0,0,0,0,0,0,0
53,LiteDARE-MapOnly,5300062,2,compressed,4,0.403336711059641,0.06496091488129702,11145,1795,16.0,58.601126194000244,0,0,0,0,0,0,False,0,False,False,64.49806213378906,64.49806213378906,64.49806213378906,0,0,0,0,0,0,0,0,[],False,899.6713100932539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32045599073171616,0,0,0,0,0,0,0
53,LiteDARE-MapOnly,5300062,2,compressed,5,0.41346988998262885,0.010133178922987873,11425,280,15.313708305358887,73.91483449935913,0,0,0,0,0,0,False,0,False,False,72.11102294921875,72.11102294921875,72.11102294921875,0,0,0,0,0,0,0,0,[],False,859.7058840095997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2985936589539051,0,0,0,0,0,0,0
53,LiteDARE-MapOnly,5300062,2,compressed,6,0.4135060799073538,3.618992472492755e-05,11426,1,15.313708305358887,89.22854280471802,0,0,0,0,0,0,False,0,False,False,81.58431243896484,81.58431243896484,81.58431243896484,0,0,0,0,0,0,0,0,[],False,847.0348492264748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28620148077607155,0,0,0,0,0,0,0
53,LiteDARE-MapOnly,5300062,2,compressed,7,0.4135060799073538,0.0,11426,0,8.0,97.22854280471802,0,0,0,0,0,0,False,0,False,False,78.58753204345703,78.58753204345703,78.58753204345703,0,0,0,0,0,0,0,0,[],False,834.1655503027141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2852408215403557,0,0,0,0,0,0,0
53,LiteDARE-MapOnly,5300062,2,compressed,8,0.4137232194557035,0.00021713954834973181,11432,6,8.0,105.22854280471802,0,0,0,0,0,0,False,0,False,False,75.89466094970703,75.89466094970703,75.89466094970703,0,0,0,0,0,0,0,0,[],False,919.3784571252763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2907882444560528,0,0,0,0,0,0,0
53,LiteDARE-MapOnly,5300062,2,compressed,9,0.41936884771279676,0.005645628257093249,11588,156,8.0,113.22854280471802,0,0,0,0,0,0,False,0,False,False,73.53910827636719,73.53910827636719,73.53910827636719,0,0,0,0,0,0,0,0,[],False,860.305821057409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2914327196776867,0,0,0,0,0,0,0
53,LiteDARE-MapOnly,5300062,2,compressed,10,0.42696873190503765,0.007599884192240891,11798,210,8.0,121.22854280471802,0,0,0,0,0,0,False,0,False,False,71.5541763305664,71.5541763305664,71.5541763305664,0,0,0,0,0,0,0,0,[],False,762.5179192982614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29427697882056236,0,0,0,0,0,0,0
