episode,method,seed,team_size,communication_mode,step,robot_id,previous_x,previous_y,preferred_x,preferred_y,proposed_x,proposed_y,actual_x,actual_y,path_increment,cumulative_robot_path,wait_flag,dynamic_blocked,static_blocked,consecutive_wait_steps,deadlock_flag,recovered_flag,revisit_flag,cross_robot_overlap_flag
97,LiteDARE-MapOnly,9703062,2,compressed,0,0,-48.0,-48.0,-48.0,-48.0,-48.0,-48.0,-48.0,-48.0,0.0,0.0,True,False,False,0,False,False,False,False
97,LiteDARE-MapOnly,9703062,2,compressed,0,1,-20.0,20.0,-20.0,20.0,-20.0,20.0,-20.0,20.0,0.0,0.0,True,False,False,0,False,False,False,False
97,LiteDARE-MapOnly,9703062,2,compressed,1,0,-48.0,-48.0,-44.0,-48.0,-44.0,-48.0,-44.0,-48.0,4.0,4.0,False,False,False,0,False,False,False,False
97,LiteDARE-MapOnly,9703062,2,compressed,1,1,-20.0,20.0,-28.0,16.0,-28.0,16.0,-28.0,16.0,8.9442720413208,8.9442720413208,False,False,False,0,False,False,False,False
97,LiteDARE-MapOnly,9703062,2,compressed,2,0,-44.0,-48.0,-40.0,-44.0,-40.0,-44.0,-40.0,-44.0,5.656854152679443,9.656854152679443,False,False,False,0,False,False,False,False
97,LiteDARE-MapOnly,9703062,2,compressed,2,1,-28.0,16.0,-36.0,8.0,-36.0,8.0,-36.0,8.0,11.313708305358887,20.257980346679688,False,False,False,0,False,False,False,False
97,LiteDARE-MapOnly,9703062,2,compressed,3,0,-40.0,-44.0,-32.0,-48.0,-32.0,-48.0,-32.0,-48.0,8.9442720413208,18.601126194000244,False,False,False,0,False,False,False,False
97,LiteDARE-MapOnly,9703062,2,compressed,3,1,-36.0,8.0,-44.0,8.0,-44.0,8.0,-44.0,8.0,8.0,28.257980346679688,False,False,False,0,False,False,False,False
97,LiteDARE-MapOnly,9703062,2,compressed,4,0,-32.0,-48.0,-28.0,-48.0,-28.0,-48.0,-28.0,-48.0,4.0,22.601126194000244,False,False,False,0,False,False,False,False
97,LiteDARE-MapOnly,9703062,2,compressed,4,1,-44.0,8.0,-52.0,8.0,-52.0,8.0,-52.0,8.0,8.0,36.25798034667969,False,False,False,0,False,False,False,False
97,LiteDARE-MapOnly,9703062,2,compressed,5,0,-28.0,-48.0,-24.0,-48.0,-24.0,-48.0,-24.0,-48.0,4.0,26.601126194000244,False,False,False,0,False,False,False,False
97,LiteDARE-MapOnly,9703062,2,compressed,5,1,-52.0,8.0,-56.0,12.0,-56.0,12.0,-56.0,12.0,5.656854152679443,41.91483449935913,False,False,False,0,False,False,False,False
97,LiteDARE-MapOnly,9703062,2,compressed,6,0,-24.0,-48.0,-20.0,-48.0,-20.0,-48.0,-20.0,-48.0,4.0,30.601126194000244,False,False,False,0,False,False,False,False
97,LiteDARE-MapOnly,9703062,2,compressed,6,1,-56.0,12.0,-56.0,16.0,-56.0,16.0,-56.0,16.0,4.0,45.91483449935913,False,False,False,0,False,False,False,False
