episode,method,seed,team_size,communication_mode,step,coverage,coverage_delta,known_free_cells,newly_explored_free_cells,step_path_length,cumulative_team_path_length,waiting_robots,deadlocked_robots,deadlock_recoveries,preferred_vertex_conflicts,preferred_swap_conflicts,preferred_proximity_conflicts,preferred_conflict_step,actual_collision_pairs,actual_collision_step,conflict_avoided_step,minimum_preferred_pairwise_distance,minimum_proposed_pairwise_distance,minimum_actual_pairwise_distance,dynamic_safety_blocks,static_safety_blocks,contact_pairs,communication_packets_delta,communication_bytes_delta,map_packets_delta,map_bytes_delta,resolver_backtracking_nodes,escape_robot_ids,used_serial_fallback,step_runtime_ms,communication_payload_bytes_delta,communication_map_packets_delta,communication_region_packets_delta,communication_motion_packets_delta,communication_map_bytes_delta,communication_region_bytes_delta,communication_motion_bytes_delta,communication_payload_cells_delta,communication_cells_received_delta,communication_encode_ms_delta,communication_decode_apply_ms_delta,communication_exchange_wall_ms_delta,communication_delivery_events_delta,communication_conflicts_delta,communication_local_map_sync_ms_delta,communication_header_bytes_delta,communication_index_bytes_delta,communication_value_bytes_delta,communication_raw_equivalent_bytes_delta,communication_dense_grid_reference_bytes_delta,communication_deferred_cells_delta,communication_packet_losses_delta
92,LiteDARE-Map-Region,9201122,8,compressed,1,0.5947652096869462,0.14674394565859422,16111,3975,67.11708688735962,67.11708688735962,0,0,0,0,0,0,False,0,False,False,16.0,16.0,16.0,0,0,0,0,0,0,0,0,[],False,3106.7655594088137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1236192658543587,0,0,0,0,0,0,0
92,LiteDARE-Map-Region,9201122,8,compressed,2,0.6881645008860012,0.09339929119905499,18641,2530,62.601126194000244,129.71821308135986,0,0,0,0,0,0,False,0,False,False,4.0,4.0,4.0,0,0,0,0,0,0,0,0,[],False,3136.8072158657014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1162348091602325,0,0,0,0,0,0,0
92,LiteDARE-Map-Region,9201122,8,compressed,3,0.7859199645599527,0.09775546367395149,21289,2648,66.40450477600098,196.12271785736084,1,0,0,1,0,1,True,0,False,True,0.0,0.0,8.0,0,1,1,2,35778,2,35778,0,[],False,3385.707281064242,35778,2,0,0,35778,0,0,7130,7130,0.324479304254055,0.26190001517534256,0.6862441077828407,2,0,1.040103379637003,128,28520,7130,35778,500128,0,0
92,LiteDARE-Map-Region,9201122,8,compressed,4,0.853957471943296,0.06803750738334324,23132,1843,69.20225238800049,265.3249702453613,0,0,0,0,0,0,False,0,False,False,16.0,16.0,16.0,0,0,1,2,35968,2,35968,0,[],False,3219.8797636665404,35968,2,0,0,35968,0,0,7168,7168,0.3431071527302265,0.2953368239104748,0.7397509180009365,2,0,1.058288849890232,128,28672,7168,35968,500128,0,0
92,LiteDARE-Map-Region,9201122,8,compressed,5,0.8551757235676314,0.0012182516243354202,23165,33,73.46023273468018,338.7852029800415,0,0,0,0,0,0,False,0,False,False,5.656854152679443,5.656854152679443,5.656854152679443,0,0,0,0,0,0,0,0,[],False,3291.690771933645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.173902302980423,0,0,0,0,0,0,0
92,LiteDARE-Map-Region,9201122,8,compressed,6,0.8551757235676314,0.0,23165,0,67.11708688735962,405.9022898674011,0,0,0,0,0,0,False,0,False,False,5.656854152679443,5.656854152679443,5.656854152679443,0,0,1,2,59108,2,59108,0,[],False,3271.5814071707428,59108,2,0,0,59108,0,0,11796,11796,0.37901895120739937,0.4202830605208874,0.9365128353238106,2,0,1.537044532597065,128,47184,11796,59108,500128,0,0
92,LiteDARE-Map-Region,9201122,8,compressed,7,0.8551757235676314,0.0,23165,0,70.14652442932129,476.0488142967224,0,0,0,0,0,0,False,0,False,False,4.0,4.0,4.0,0,0,3,8,198059,6,198059,0,[],False,3433.9164649136364,198259,6,2,0,198059,200,0,39535,39535,1.1324887163937092,1.3495776802301407,2.9534995555877686,6,0,1.0688030160963535,384,158140,39535,288849,1500384,0,0
92,LiteDARE-Map-Region,9201122,8,compressed,8,0.8551757235676314,0.0,23165,0,54.62741661071777,530.6762309074402,1,0,0,1,0,1,True,0,False,True,0.0,0.0,4.0,0,1,5,18,426755,10,426755,0,[],False,3771.5821829624474,427555,10,8,0,426755,800,0,85223,85223,2.025688998401165,2.4682884104549885,5.368119105696678,10,0,1.0529994033277035,640,340892,85223,710075,2500640,0,0
92,LiteDARE-Map-Region,9201122,8,compressed,9,0.8551757235676314,0.0,23165,0,68.51596069335938,599.1921916007996,0,0,0,0,0,0,False,0,False,False,8.0,8.0,8.0,0,0,8,28,750784,16,750784,0,[],False,3520.7268982194364,751984,16,12,0,750784,1200,0,149952,149952,3.2192966900765896,2.7150437235832214,7.590948604047298,16,0,1.0535111650824547,1024,599808,149952,1480814,4001024,0,0
92,LiteDARE-Map-Region,9201122,8,compressed,10,0.8848567631423508,0.02968103957471946,23969,804,64.97056245803833,664.1627540588379,0,0,0,0,0,0,False,0,False,False,4.0,4.0,4.0,0,0,3,12,134139,6,134139,0,[],False,3286.321783903986,134739,6,6,0,134139,600,0,26751,26751,1.0145921260118484,1.2492896057665348,2.5878497399389744,6,0,1.061075832694769,384,107004,26751,511879,1500384,0,0
92,LiteDARE-Map-Region,9201122,8,compressed,11,0.9275694034258712,0.0427126402835204,25126,1157,70.40450477600098,734.5672588348389,0,0,0,0,0,0,False,0,False,False,5.656854152679443,5.656854152679443,5.656854152679443,0,0,3,10,213739,6,213739,0,[],False,3297.508502844721,214139,6,4,0,213739,400,0,42671,42671,1.1123274452984333,0.7323645986616611,2.33739847317338,6,0,1.0669236071407795,384,170684,42671,640429,1500384,0,0
92,LiteDARE-Map-Region,9201122,8,compressed,12,0.9278647371529829,0.0002953337271116574,25134,8,73.4865231513977,808.0537819862366,0,0,0,0,0,0,False,0,False,False,8.0,8.0,8.0,0,0,4,15,209842,8,209842,0,[],False,3727.6685992255807,210542,8,7,0,209842,700,0,41866,41866,1.3605752028524876,1.5543126501142979,3.3594006672501564,8,0,1.0150186717510223,512,167464,41866,692952,2000512,0,0
92,LiteDARE-Map-Region,9201122,8,compressed,13,0.9278647371529829,0.0,25134,0,62.17281484603882,870.2265968322754,0,0,0,0,0,0,False,0,False,False,5.656854152679443,5.656854152679443,5.656854152679443,0,0,2,6,381,4,381,0,[],False,3650.2418727613986,581,4,2,0,381,200,0,25,25,0.5035377107560635,0.0924435444176197,0.6287726573646069,4,0,1.060799229890108,256,100,25,442991,1000256,0,0
92,LiteDARE-Map-Region,9201122,8,compressed,14,0.9298582398109864,0.0019935026580034654,25188,54,67.09079647064209,937.3173933029175,0,0,0,0,0,0,False,0,False,False,8.9442720413208,8.9442720413208,8.9442720413208,0,0,1,3,218678,2,218678,0,[],False,3531.511885114014,218778,2,1,0,218678,100,0,43710,43710,0.5963505245745182,0.8859098888933659,1.9484609365463257,2,0,0.9373906068503857,128,174840,43710,218678,500128,0,0
92,LiteDARE-Map-Region,9201122,8,compressed,15,0.9302274069698759,0.00036916715888957174,25198,10,63.5979790687561,1000.9153723716736,0,0,0,0,0,0,False,0,False,False,4.0,4.0,4.0,0,0,2,6,10781,4,10781,0,[],False,3532.878676895052,10981,4,2,0,10781,200,0,2105,2105,0.5237581208348274,0.26196474209427834,0.8414397016167641,4,0,0.9325677528977394,256,8420,2105,458281,1000256,0,0
