episode,method,seed,team_size,communication_mode,step,coverage,coverage_delta,known_free_cells,newly_explored_free_cells,step_path_length,cumulative_team_path_length,waiting_robots,deadlocked_robots,deadlock_recoveries,preferred_vertex_conflicts,preferred_swap_conflicts,preferred_proximity_conflicts,preferred_conflict_step,actual_collision_pairs,actual_collision_step,conflict_avoided_step,minimum_preferred_pairwise_distance,minimum_proposed_pairwise_distance,minimum_actual_pairwise_distance,dynamic_safety_blocks,static_safety_blocks,contact_pairs,communication_packets_delta,communication_bytes_delta,map_packets_delta,map_bytes_delta,resolver_backtracking_nodes,escape_robot_ids,used_serial_fallback,step_runtime_ms,communication_payload_bytes_delta,communication_map_packets_delta,communication_region_packets_delta,communication_motion_packets_delta,communication_map_bytes_delta,communication_region_bytes_delta,communication_motion_bytes_delta,communication_payload_cells_delta,communication_cells_received_delta,communication_encode_ms_delta,communication_decode_apply_ms_delta,communication_exchange_wall_ms_delta,communication_delivery_events_delta,communication_conflicts_delta,communication_local_map_sync_ms_delta,communication_header_bytes_delta,communication_index_bytes_delta,communication_value_bytes_delta,communication_raw_equivalent_bytes_delta,communication_dense_grid_reference_bytes_delta,communication_deferred_cells_delta,communication_packet_losses_delta
36,LiteDARE-Map-Reservation,3602122,8,compressed,1,0.5949086669257676,0.06813058686358342,15307,1753,41.65685415267944,41.65685415267944,0,0,0,0,0,0,False,0,False,False,8.0,8.0,8.0,0,0,0,0,0,0,0,8,[],False,3610.9976610168815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0732109658420086,0,0,0,0,0,0,0
36,LiteDARE-Map-Reservation,3602122,8,compressed,2,0.6645938593082006,0.06968519238243298,17100,1793,43.31370830535889,84.97056245803833,0,0,0,0,0,0,False,0,False,False,4.0,4.0,4.0,0,0,1,4,25858,2,25858,8,[],False,3374.5002951472998,26002,2,0,2,25858,0,144,5146,5146,1.3950210995972157,0.9438619017601013,2.696612849831581,4,0,2.4102344177663326,128,20584,5146,25858,500128,0,0
36,LiteDARE-Map-Reservation,3602122,8,compressed,3,0.7116984065293431,0.047104547221142545,18312,1212,44.9442720413208,129.91483449935913,0,0,0,0,0,0,False,0,False,False,4.0,4.0,4.0,0,0,1,4,393,2,393,8,[],False,3211.37973992154,537,2,0,2,393,0,144,53,53,0.2915770746767521,0.07908931002020836,0.42539509013295174,4,0,1.0905410163104534,128,212,53,34753,500128,0,0
36,LiteDARE-Map-Reservation,3602122,8,compressed,4,0.7667314418966187,0.05503303536727555,19728,1416,42.601126194000244,172.51596069335938,0,0,0,0,0,0,False,0,False,False,5.656854152679443,5.656854152679443,5.656854152679443,0,0,1,4,3553,2,3553,8,[],False,3333.6405158042908,3697,2,0,2,3553,0,144,685,685,0.2921717241406441,0.10744156315922737,0.4629092290997505,4,0,1.1297124437987804,128,2740,685,38263,500128,0,0
36,LiteDARE-Map-Reservation,3602122,8,compressed,5,0.8086669257675865,0.041935483870967794,20807,1079,61.43394231796265,233.94990301132202,0,0,0,1,0,1,True,0,False,True,0.0,4.0,4.0,0,0,1,4,1413,2,1413,8,[],False,3261.99273718521,1557,2,0,2,1413,0,144,257,257,0.294338446110487,0.08636852726340294,0.43905992060899734,4,0,1.0493071749806404,128,1028,257,41443,500128,0,0
36,LiteDARE-Map-Reservation,3602122,8,compressed,6,0.8167508744656043,0.008083948698017873,21015,208,52.28427076339722,286.23417377471924,0,0,0,0,0,0,False,0,False,False,5.656854152679443,8.9442720413208,8.9442720413208,0,0,1,4,133,2,133,8,[],False,3371.076380368322,277,2,0,2,133,0,144,1,1,0.26416080072522163,0.06000464782118797,0.3789798356592655,4,0,1.0400163009762764,128,4,1,42713,500128,0,0
36,LiteDARE-Map-Reservation,3602122,8,compressed,7,0.8412747765254567,0.02452390205985233,21646,631,50.601126194000244,336.8352999687195,0,0,0,0,0,0,False,0,False,False,12.649110794067383,12.649110794067383,12.649110794067383,0,0,1,4,4038,2,4038,8,[],False,3231.962950900197,4182,2,0,2,4038,0,144,782,782,0.27653761208057404,0.10608416050672531,0.4427628591656685,4,0,1.0084123350679874,128,3128,782,46628,500128,0,0
36,LiteDARE-Map-Reservation,3602122,8,compressed,8,0.845549941702293,0.0042751651768363486,21756,110,47.545398235321045,384.3806982040405,0,0,0,0,0,0,False,0,False,False,4.0,4.0,4.0,0,0,0,0,0,0,0,8,[],False,3219.9704530648887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.144852489233017,0,0,0,0,0,0,0
36,LiteDARE-Map-Reservation,3602122,8,compressed,9,0.8769529731830548,0.031403031480761734,22564,808,60.515960693359375,444.8966588973999,0,0,0,2,0,2,True,0,False,True,0.0,4.0,4.0,0,0,2,8,105811,4,105811,9,[],False,3355.212989728898,106099,4,0,4,105811,0,288,21111,21111,0.7727351039648056,0.7868632674217224,1.8672030419111252,8,0,1.1484907008707523,256,84444,21111,105811,1000256,0,0
36,LiteDARE-Map-Reservation,3602122,8,compressed,10,0.930470268169452,0.053517294986397235,23941,1377,53.91483449935913,498.81149339675903,0,0,0,0,0,0,False,0,False,False,4.0,4.0,4.0,0,0,3,12,79209,6,79209,9,[],False,3427.035013679415,79641,6,0,6,79209,0,432,15765,15765,0.9995745494961739,0.7818089798092842,2.0419121719896793,12,0,1.2222896330058575,384,63060,15765,247239,1500384,0,0
36,LiteDARE-Map-Reservation,3602122,8,compressed,11,0.9598134473377381,0.029343179168286104,24696,755,44.25798034667969,543.0694737434387,0,0,0,0,0,0,False,0,False,False,4.0,5.656854152679443,5.656854152679443,0,0,3,12,116254,6,116254,8,[],False,3446.684692054987,116686,6,0,6,116254,0,432,23174,23174,1.0216808877885342,0.9195744059979916,2.2829738445580006,12,0,1.0850918479263783,384,92696,23174,286524,1500384,0,0
36,LiteDARE-Map-Reservation,3602122,8,compressed,12,0.9598134473377381,0.0,24696,0,44.9442720413208,588.0137457847595,0,0,0,0,0,0,False,0,False,False,5.656854152679443,5.656854152679443,5.656854152679443,0,0,1,4,25158,2,25158,8,[],False,3346.986257005483,25302,2,0,2,25158,0,144,5006,5006,0.32508885487914085,0.2596694976091385,0.6959266029298306,4,0,1.02721294388175,128,20024,5006,133808,500128,0,0
36,LiteDARE-Map-Reservation,3602122,8,compressed,13,0.9719005052467936,0.01208705790905551,25007,311,54.85910654067993,642.8728523254395,0,0,0,1,0,1,True,0,False,True,0.0,4.0,4.0,0,0,2,8,105011,4,105011,9,[],False,3447.350021917373,105299,4,0,4,105011,0,288,20951,20951,1.0588397271931171,1.213857438415289,2.6469761505723,8,0,1.6717608086764812,256,83804,20951,261521,1000256,0,0
36,LiteDARE-Map-Reservation,3602122,8,compressed,14,0.9856976292265838,0.01379712397979016,25362,355,47.545398235321045,690.4182505607605,0,0,0,1,0,1,True,0,False,True,0.0,4.0,4.0,0,0,4,16,398542,8,398542,8,[],False,3480.390138924122,399118,8,0,8,398542,0,576,79606,79606,1.769436988979578,1.7100265249609947,4.402195103466511,16,0,1.015528105199337,512,318424,79606,666702,2000512,0,0
36,LiteDARE-Map-Reservation,3602122,8,compressed,15,0.9923047026816946,0.006607073455110801,25532,170,47.545398235321045,737.9636487960815,0,0,0,0,0,0,False,0,False,False,5.656854152679443,5.656854152679443,5.656854152679443,0,0,4,16,10812,8,10812,8,[],False,3437.0448207482696,11388,8,0,8,10812,0,576,2060,2060,1.0171984322369099,0.21632760763168335,1.3674721121788025,16,0,0.9502461180090904,512,8240,2060,669842,2000512,0,0
